rank,category,modality,name,number,country,event_name,Qualification,Final,Semi-Final
13,Juniors Female,Lead,Martina DE PRETO,109 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26+  15. | 29+  14. [14.75] (15),,29+ (13)
14,Juniors Female,Lead,Anastasiia EVGENEVA,150 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  5. | 29+  14. [9.33] (11),,27 (14)
15,Juniors Female,Lead,Eliska NOVOTNA,28 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  5. | 38   10. [7.75] (9),,26+ (15)
16,Juniors Female,Lead,Polina AKSENOVA,148 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",24+  16. | 22+  16. [16.50] (16),,22 (16)
17,Juniors Female,Lead,Tetiana ZAIETS,214 •,UKR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",24+  16. | 22+  16. [16.50] (16),,21+ (17)
1,Youth A Female,Lead,Camille POUGET,65 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [2.35] (1),44+ (1),39+ (2)
2,Youth A Female,Lead,Julia LOTZ,3 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  3. | Top  1. [5.50] (3),35+ (2),33+ (8)
3,Youth A Female,Lead,Lucija TARKUS,198 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   9. | Top  1. [7.23] (8),32+ (3),38+ (3)
4,Youth A Female,Lead,Elena MATIAK-IABLUCHKINA,155 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  3. | Top  1. [5.50] (3),32 (4),34+ (6)
5,Youth A Female,Lead,Michaela SMETANOVA,34 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  3. | Top  1. [5.50] (3),32 (5),34+ (6)
6,Youth A Female,Lead,Vanda MICHALKOVA,209 •,SVK,"European Youth Championships (L,S) - Voronezh (RUS) 2019",39+  2. | Top  1. [3.32] (2),30 (6),40 (1)
7,Youth A Female,Lead,Daria FURMANOVA,154 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",32   18. | Top  1. [9.95] (11),27+ (7),38+ (4)
8,Youth A Female,Lead,Maja MAJCEN,197 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   11. | 39+  12. [13.23] (12),15+ (8),36 (5)
9,Youth A Female,Lead,Morgane DAELE,12 •,BEL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",34+  15. | 37+  17. [16.70] (18),,33+ (9)
10,Youth A Female,Lead,Elisabeth LARDSCHNEIDER,113 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",34+  15. | Top  1. [9.23] (10),,33 (10)
11,Youth A Female,Lead,Jana RAUTH,4 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   11. | 39+  12. [13.23] (12),,32+ (11)
12,Youth A Female,Lead,Maria BENACH ZUBERO,55 •,ESP,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  20. | 39+  12. [16.94] (19),,32+ (12)
13,Youth A Female,Lead,Lucie WATILLON,13 •,BEL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  3. | Top  1. [5.50] (3),,32 (13)
14,Youth A Female,Lead,Betka DEBEVEC,196 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  3. | 39+  12. [8.77] (9),,31 (14)
15,Youth A Female,Lead,Elizaveta TROKINA,156 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   11. | 39+  12. [13.23] (12),,31 (15)
16,Youth A Female,Lead,Eliska BULENOVA,31 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   9. | 33+  20. [13.96] (15),,31 (16)
17,Youth A Female,Lead,Nikola KRALIKOVA,32 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",34   17. | 37+  17. [17.49] (20),,31 (17)
18,Youth A Female,Lead,Ana Belén ARGUDO MARUGAN,54 •,ESP,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  20. | 43   11. [15.02] (17),,29+ (18)
19,Youth A Female,Lead,Tereza SIRUCKOVA,33 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",30+  19. | 33+  20. [19.74] (21),,29 (19)
20,Youth A Female,Lead,Kseniia ZVONAREVA,157 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  3. | Top  1. [5.50] (3),,26+ (20)
21,Youth A Female,Lead,Yael LIPOWEZKI,105 •,ISR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",24+  25. | 22+  25. [25.00] (26),,25+ (21)
22,Youth A Female,Lead,Erica VELEV,18 •,CAN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26+  22. | 21+  26. [23.92] (24),,24+ (22)
23,Youth A Female,Lead,Vana PICCINI,23 •,CRO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",25+  24. | 29+  22. [22.98] (22),,22+ (23)
24,Youth A Female,Lead,Lisa CHERBLANC,64 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   11. | 37+  17. [15.00] (16),,19+ (24)
25,Youth A Female,Lead,Ingrid KINDLIHAGEN,143 •,NOR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",23+  26. | 27+  24. [24.98] (25),,18 (25)
26,Youth A Female,Lead,Gaia Rebecca TOFT LAURITZEN,47 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26   23. | 28+  23. [23.00] (23),,17 (26)
1,Youth B Female,Lead,Oriane BERTONE,68 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [3.71] (1),48+ (1),Top (1)
2,Youth B Female,Lead,Sara COPAR,199 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [3.71] (1),38+ (2),38+ (4)
3,Youth B Female,Lead,Liza NOVAK,200 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   8. | Top  1. [7.23] (7),34 (3),41 (3)
4,Youth B Female,Lead,Gal·la PÉREZ PETANAS,57 •,ESP,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  6. | 42   12. [8.83] (11),29+ (4),37+ (5)
5,Youth B Female,Lead,Marketa JANOSOVA,37 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   8. | Top  1. [7.23] (7),29+ (5),35 (7)
6,Youth B Female,Lead,Sabina VAN ESSEN,138 •,NED,"European Youth Championships (L,S) - Voronezh (RUS) 2019",43+  5. | Top  1. [5.24] (5),22+ (6),35+ (6)
7,Youth B Female,Lead,Emilia WARENSKI,6 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [3.71] (1),9+ (7),Top (1)
8,Youth B Female,Lead,Saula LERONDEL,70 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  12. | Top  1. [8.46] (10),9+ (8),34+ (8)
9,Youth B Female,Lead,Federica PAPETTI,120 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  21. | 36+  16. [19.05] (17),,33+ (9)
10,Youth B Female,Lead,Viola BATTISTELLA,117 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  21. | 35+  18. [19.90] (20),,31+ (10)
11,Youth B Female,Lead,Ekaterina SELIVANOVA,164 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",34   15. | 39+  13. [13.96] (14),,31 (11)
12,Youth B Female,Lead,Louna DESHAYES,69 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  12. | 42+  11. [11.96] (12),,29 (12)
13,Youth B Female,Lead,Lea KEMPF,5 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  6. | Top  1. [5.98] (6),,28+ (13)
14,Youth B Female,Lead,Evi NIEDERWOLFSGRUBER,119 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  12. | 37+  15. [13.96] (14),,26+ (14)
15,Youth B Female,Lead,Karolina GENDOVA,36 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29+  21. | 36+  16. [19.05] (17),,26+ (15)
16,Youth B Female,Lead,Eva KOROSTELEVA,163 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",31+  17. | 29+  21. [19.77] (19),,26+ (16)
17,Youth B Female,Lead,In En SIM,165 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",32+  16. | 28+  26. [20.78] (21),,25+ (17)
18,Youth B Female,Lead,Lara KMOCH,25 •,CRO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",30+  19. | 29+  21. [21.18] (22),,25+ (18)
19,Youth B Female,Lead,Edith SAVENIJE,137 •,NED,"European Youth Championships (L,S) - Voronezh (RUS) 2019",31   18. | 28   29. [22.85] (23),,21 (19)
20,Youth B Female,Lead,Daria GLOTOVA,162 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   8. | 33   19. [13.44] (13),,19+ (20)
21,Youth B Female,Lead,Hana SIKULOVA,38 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",30+  19. | 28+  26. [22.95] (24),,17+ (21)
22,Youth B Female,Lead,Ema SELIŠKAR,201 •,SLO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",29   24. | 29+  21. [23.49] (25),,17+ (22)
23,Youth B Female,Lead,Ariane FRANKEN,90 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   8. | Top  1. [7.23] (7),,17 (23)
24,Youth B Female,Lead,Lana BAKIĆ,24 •,CRO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",28+  25. | 38+  14. [18.89] (16),,17 (24)
25,Youth B Female,Lead,Aleksandra TOTKOVA,19 •,BUL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [3.71] (1),,6 (25)
26,Youth B Female,Lead,Yuliya NIKIFARAVETS,17 •,BLR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",21   32. | 32+  20. [25.30] (26),,
27,Youth B Female,Lead,Matilde MONTICELLI,118 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26+  28. | 29+  21. [25.60] (27),,
27,Youth B Female,Lead,Bar SNIR,107 •,ISR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",26+  28. | 29+  21. [25.60] (27),,
29,Youth B Female,Lead,Adriana Beverly LLEDÓ GÓMEZ,56 •,ESP,"European Youth Championships (L,S) - Voronezh (RUS) 2019",28   27. | 28+  26. [27.00] (29),,
30,Youth B Female,Lead,Anja SANTINI MIKULIĆ,26 •,CRO,"European Youth Championships (L,S) - Voronezh (RUS) 2019",28+  25. | 18+  34. [29.44] (30),,
31,Youth B Female,Lead,Silke DEWITTE,14 •,BEL,"European Youth Championships (L,S) - Voronezh (RUS) 2019",23+  31. | 22+  30. [30.50] (31),,
31,Youth B Female,Lead,Sofia DURKOVA,210 •,SVK,"European Youth Championships (L,S) - Voronezh (RUS) 2019",24   30. | 21   31. [30.50] (31),,
33,Youth B Female,Lead,Maya SHEMEN,106 •,ISR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",17+  33. | 19+  33. [33.25] (33),,
34,Youth B Female,Lead,Laura Nørgaard HANSEN,48 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",14+  35. | 20+  32. [33.47] (34),,
35,Youth B Female,Lead,Martina DUSANKOVA,35 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",17+  33. | 17   35. [34.24] (35),,
1,Juniors Male,Lead,Paul JENFT,25 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",2.12 (1),TOP (1),38+ (2)
2,Juniors Male,Lead,Jonas UTELLI,61 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.0 (3),41 (2),37+ (3)
3,Juniors Male,Lead,Giorgio TOMATIS,37 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",7.86 (7),40+ (3),35+ (4)
4,Juniors Male,Lead,Alberto GINÉS LÓPEZ,9 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",2.12 (1),40 (4),42+ (1)
5,Juniors Male,Lead,Davide Marco COLOMBO,34 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.99 (8),34+ (5),33 (5)
6,Juniors Male,Lead,Diego FOURBET,26 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.72 (10),34+ (6),29+ (8)
7,Juniors Male,Lead,Marek JELIGA,130 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",12.04 (14),33 (7),31+ (6)
8,Juniors Male,Lead,Andrej POLAK,136 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",7.79 (6),32 (8),29+ (7)
9,Juniors Male,Lead,Dario JOST,62 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.26 (18),,25+ (9)
10,Juniors Male,Lead,Paolo STERNI,38 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.1 (12),,25 (10)
11,Juniors Male,Lead,Andreas HOFHERR,18 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",15.37 (16),,25 (11)
12,Juniors Male,Lead,Geva LEVIN,121 •,ISR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.44 (19),,24+ (12)
13,Juniors Male,Lead,Cristian RÂPĂ,5 •,ROU,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",15.35 (15),,23+ (13)
14,Juniors Male,Lead,Jakub ZIETEK,87 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",16.73 (17),,23+ (14)
15,Juniors Male,Lead,Jan VOPAT,145 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.25 (13),,22+ (15)
16,Juniors Male,Lead,Joshua FOURTEAU,70 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.72 (10),,21+ (16)
17,Juniors Male,Lead,Jáchym CINK,131 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.35 (22),,21+ (17)
18,Juniors Male,Lead,Jakub FÁBRIC,79 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",22.98 (23),,21+ (18)
19,Juniors Male,Lead,Nikita IVANOV,94 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",23.45 (24),,20+ (19)
20,Juniors Male,Lead,Semen OVCHINNIKOV,91 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.58 (5),,19+ (20)
21,Juniors Male,Lead,Lawrence BOGESCHDORFER,17 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",24.49 (25),,19+ (21)
22,Juniors Male,Lead,Ties VANCRAEYNEST,1 •,BEL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.67 (4),,12+ (22)
23,Juniors Male,Lead,Nikita NEVZOROV,93 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.74 (21),,12 (23)
24,Juniors Male,Lead,Igor BOBRENEV,92 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",9.71 (9),,11 (24)
25,Juniors Male,Lead,Dmitry SEVANKAEV,8 •,LAT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",25.5 (26),,10+ (25)
26,Juniors Male,Lead,Samuel STEFANIK,82 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.44 (20),,2+ (26)
,Juniors Male,Lead,Jasper VAN MALDEREN,4 •,BEL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",DNS,,
1,Youth A Male,Lead,Mejdi SCHALCK,28 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",1.0 (1),44+ (1),38+ (1)
2,Youth A Male,Lead,Hannes VAN DUYSEN,2 •,BEL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.22 (9),36 (2),33 (3)
3,Youth A Male,Lead,Slav KIROV,57 •,BUL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.81 (4),35+ (3),33 (2)
4,Youth A Male,Lead,Benjamin HAIDACHER,24 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",6.24 (6),34+ (4),31 (5)
5,Youth A Male,Lead,Julian WIMMER,21 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.24 (3),34+ (5),28+ (7)
6,Youth A Male,Lead,Crep LOVRO,142 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",7.25 (8),34 (6),30+ (6)
7,Youth A Male,Lead,Emil ZIMMERMANN,73 •,GER,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.92 (5),32+ (7),32+ (4)
8,Youth A Male,Lead,David ZINSLER,19 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",15.38 (17),30+ (8),27+ (8)
9,Youth A Male,Lead,Piotr NIZNIK,120 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",10.43 (10),,25 (9)
10,Youth A Male,Lead,Vladislav SHUNEVICH,144 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.96 (12),,25 (10)
11,Youth A Male,Lead,Illia MANIAKIN,84 •,UKR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.23 (18),,24 (11)
12,Youth A Male,Lead,Timotej ROMŠAK,138 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",6.52 (7),,23+ (12)
13,Youth A Male,Lead,Michel SIEDLER,74 •,GER,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.62 (11),,23 (13)
14,Youth A Male,Lead,Edvards GRUZITIS,6 •,LAT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.47 (15),,22+ (14)
15,Youth A Male,Lead,Lluc MACIÀ LLOBET,10 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.52 (16),,22+ (15)
16,Youth A Male,Lead,Leontii BOBKOV,96 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",20.49 (21),,22+ (16)
17,Youth A Male,Lead,Louis GUIGNARD,65 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",23.96 (24),,20+ (17)
18,Youth A Male,Lead,Maksym VNUKOV,90 •,UKR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",24.69 (26),,20 (18)
19,Youth A Male,Lead,Jitse REMES,3 •,BEL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.97 (20),,19 (19)
20,Youth A Male,Lead,Luka JERMAN,137 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.0 (2),,17 (20)
21,Youth A Male,Lead,Anselmo BAZZANI,42 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",12.85 (14),,14+ (21)
22,Youth A Male,Lead,Alexander TEPLYKH,95 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",12.04 (13),,11+ (22)
23,Youth A Male,Lead,Filip HROMADA,80 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",23.18 (23),,11+ (23)
24,Youth A Male,Lead,Davide ZANE,41 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",24.15 (25),,11 (24)
25,Youth A Male,Lead,Lukas ZGRAGGEN,64 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",20.99 (22),,7+ (25)
26,Youth A Male,Lead,Leander CARMANNS,71 •,GER,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.83 (19),,DNS
27,Youth A Male,Lead,Matvey SIDELNIKOV,115 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",25.4 (27),,
28,Youth A Male,Lead,Yan JAKOB,63 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",28.98 (28),,
29,Youth A Male,Lead,Luca BOLDRINI,39 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",29.15 (29),,
30,Youth A Male,Lead,Konstanty SOBANSKI,89 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",29.35 (30),,
31,Youth A Male,Lead,Nimrod LAVEE,134 •,ISR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",30.0 (31),,
32,Youth A Male,Lead,Ondrej MAZL,127 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",30.89 (32),,
33,Youth A Male,Lead,Thomas KROA,146 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",31.22 (33),,
34,Youth A Male,Lead,Jan STOVICEK,129 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",31.46 (34),,
35,Youth A Male,Lead,Paul CRISTEA,15 •,ROU,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",32.98 (35),,
36,Youth A Male,Lead,Tomass DILANS,7 •,LAT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",35.5 (36),,
1,Youth B Male,Lead,Timo UZNIK,22 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",1.73 (1),46+ (1),42 (3)
2,Youth B Male,Lead,Gorazd JUREKOVIČ,140 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.46 (2),45+ (2),40+ (4)
3,Youth B Male,Lead,Lukas MOKROLUSKY,123 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",6.32 (8),44+ (3),44+ (1)
4,Youth B Male,Lead,Nikolay RUSEV,58 •,BUL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.47 (3),44+ (4),38+ (6)
5,Youth B Male,Lead,Lau MACIÀ LLOBET,11 •,ESP,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.29 (6),44+ (5),37+ (8)
6,Youth B Male,Lead,Michele REUSA,46 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",5.57 (7),43+ (6),43+ (2)
7,Youth B Male,Lead,Raffael GRUBER,23 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",6.93 (9),41 (7),40+ (5)
8,Youth B Male,Lead,Evgenii ZHILOV,98 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.0 (10),38+ (8),38+ (7)
9,Youth B Male,Lead,Riccardo VICENTINI,45 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",11.0 (11),,36+ (9)
10,Youth B Male,Lead,Alexander EFREMOV,97 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.47 (3),,34 (10)
11,Youth B Male,Lead,Nikolay ANGELOV,59 •,BUL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",14.47 (16),,33+ (11)
12,Youth B Male,Lead,Boyan KIROV,60 •,BUL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.89 (18),,33+ (12)
13,Youth B Male,Lead,Aleksandr VINOGRADOV,99 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",16.02 (17),,33 (13)
14,Youth B Male,Lead,Tristan SÝKORA,78 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.29 (20),,32+ (14)
15,Youth B Male,Lead,Frantisek DANDA,124 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",14.42 (15),,30+ (15)
16,Youth B Male,Lead,Szymon DABROWSKI,88 •,POL,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",18.97 (19),,29+ (16)
17,Youth B Male,Lead,Nevo ALON,143 •,ISR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",23.98 (24),,28 (17)
18,Youth B Male,Lead,Jaroslav SIKULA,126 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.64 (14),,27+ (18)
19,Youth B Male,Lead,Darius RAPA,13 •,ROU,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.9 (5),,27 (19)
20,Youth B Male,Lead,Ilja AUERSPERG,20 •,AUT,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",12.73 (12),,26 (20)
21,Youth B Male,Lead,Juri VILLA,47 •,ITA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",13.42 (13),,25+ (21)
22,Youth B Male,Lead,Alexandru-florian ZAHARIA,14 •,ROU,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",21.25 (22),,20+ (22)
23,Youth B Male,Lead,Vladislav IVANOV,100 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",22.24 (23),,20+ (23)
24,Youth B Male,Lead,Filip BUČEK,83 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",25.46 (25),,19+ (24)
25,Youth B Male,Lead,Filip MATEJIČKA,81 •,SVK,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",19.97 (21),,17+ (25)
26,Youth B Male,Lead,Pavel ASTAPCHYK,69 •,BLR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",26.25 (26),,17 (26)
27,Youth B Male,Lead,Maksim HAMAN,68 •,BLR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",26.46 (27),,
28,Youth B Male,Lead,Dmytro BESPALYI,119 •,UKR,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",27.24 (28),,
1,Juniors Female,Lead,Lucija TARKUS,272 •,SLO,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",1.22 (1),37+ (1),32+ (2)
2,Juniors Female,Lead,Camille POUGET,165 •,FRA,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.0 (3),37+ (2),31+ (4)
3,Juniors Female,Lead,Michaela SMETANOVA,266 •,CZE,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",2.6 (2),37 (3),34+ (1)
4,Juniors Female,Lead,Daria MEZENTSEVA,250 •,RUS,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",3.61 (4),37 (4),32+ (3)
5,Juniors Female,Lead,Zoé EGLI,195 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",4.5 (5),33 (5),31+ (5)
6,Juniors Female,Lead,Joëlle NIEDERBERGER,196 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",10.72 (11),27+ (6),28+ (7)
7,Juniors Female,Lead,Liv EGLI,194 •,SUI,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",8.99 (8),27+ (7),28 (8)
