rank,category,modality,name,number,country,event_name,Qualification,Final,Semi-Final
11,Men RP1,Lead,Vasile COLIBAN,35 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,10.95 (11),,
11,Men RP1,Lead,Tim SCHAFFRINNA,12 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,10.95 (11),,
1,Men RP2,Lead,Mor Michael SAPIR,34 •,ISR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (1),TOP (1),
2,Men RP2,Lead,Kevin BARTKE,29 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.46 (2),TOP (2),
3,Men RP2,Lead,Isak RIPMAN,4 •,NOR,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.9 (4),37+ (3),
4,Men RP2,Lead,Bostian HALAS,1 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.24 (3),28+ (4),
5,Men RP2,Lead,Alessio CORNAMUSINI,28 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,5.48 (5),,
6,Men RP2,Lead,Matej ARH,18 •,SLO,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,6.0 (6),,
7,Men RP2,Lead,Daniel NYGREN,27 •,SWE,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,6.48 (7),,
8,Men RP2,Lead,Nils HELSPER,11 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,7.14 (8),,
8,Men RP2,Lead,Daniel WIENER,6 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,7.14 (8),,
10,Men RP2,Lead,Andrei-serban POPA-FLOREA,39 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,7.75 (10),,
11,Men RP2,Lead,Florian SINGER,26 •,GER,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,8.12 (11),,
1,Men RP3,Lead,Mathieu BESNARD,51 •,FRA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (1),44 (1),
2,Men RP3,Lead,Jamie BARENDRECHT,5 •,NED,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.46 (3),34+ (2),
3,Men RP3,Lead,Gregor SELAK,17 •,SLO,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (1),31+ (3),
4,Men RP3,Lead,Alessandro NERI,41 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.61 (4),27+ (4),
5,Men RP3,Lead,Federico DI FELICE,42 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.87 (5),,
6,Men RP3,Lead,Cesare CUNICO,46 •,ITA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.24 (6),,
7,Men RP3,Lead,Andrej HARŠÁNY,47 •,SVK,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,6.75 (7),,
8,Men RP3,Lead,Marc PUIG MUÑOZ,32 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,8.0 (8),,
9,Men RP3,Lead,Sergio ASENSIO RUÍZ,22 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,9.0 (9),,
10,Men RP3,Lead,Radu-pintea HOJDA,48 •,ROU,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,10.0 (10),,
1,Women RP1,Lead,Pavitra VANDENHOVEN,79 •,BEL,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.22 (1),36+ (1),
2,Women RP1,Lead,Eva MOL,70 •,NED,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.73 (2),34+ (2),
3,Women RP1,Lead,Marta PECHE SALINERO,71 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.24 (3),18 (3),
4,Women RP1,Lead,Andrea SÁNCHEZ APARICIO,72 •,ESP,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,3.74 (4),,
1,Women RP3,Lead,Lucie JARRIGE,78 •,FRA,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,1.0 (1),52+ (1),
2,Women RP3,Lead,Christiane LUTTIKHUIZEN,62 •,NED,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2.45 (2),46+ (2),
3,Women RP3,Lead,Katharina RITT,67 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.0 (3),33+ (3),
4,Women RP3,Lead,Jasmin PLANK,64 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.0 (3),28 (4),
5,Women RP3,Lead,Sandra POLLAK,66 •,AUT,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,4.24 (5),,
