Year,Event Title,Href
1997,UIAA Masters - Rock Masters Arco 1997,https://ifsc.results.info/event/178/
1997,European Youth Cup - Parma (ITA) 1997,https://ifsc.results.info/event/175/
1997,UIAA Worldcup - Prag 1997,https://ifsc.results.info/event/166/
1997,UIAA Worldcup - Kranj 1997,https://ifsc.results.info/event/167/
1997,UIAA Youth Worldchampionship - Imst (AUT) 1997,https://ifsc.results.info/event/170/
1997,UIAA Worldcup - Imst 1997,https://ifsc.results.info/event/168/
1997,UIAA Worldcup - Birmingham 1997,https://ifsc.results.info/event/169/
1998,UIAA European Championship - Nürnberg (GER) 1998,https://ifsc.results.info/event/184/
1998,European Youth Cup - Dortmund (GER) 1998,https://ifsc.results.info/event/185/
1998,European Youth Cup - Triest (ITA) 1998,https://ifsc.results.info/event/186/
1998,European Youth Cup - Imst (AUT) 1998,https://ifsc.results.info/event/187/
1998,Top Rock Challenge - Val d'Isere (FRA) 1998,https://ifsc.results.info/event/189/
1998,UIAA Youth Worldchampionship - Moscow (RUS) 1998,https://ifsc.results.info/event/183/
1998,Top Rock Challenge - Chamonix (FRA) 1998,https://ifsc.results.info/event/190/
1998,UIAA Masters - Serre Chevalier (FRA) 1998,https://ifsc.results.info/event/191/
1998,UIAA Worldcup - Beauregard (ITA) 1998,https://ifsc.results.info/event/179/
1998,Top Rock Challenge - Valloire (FRA) 1998,https://ifsc.results.info/event/192/
1998,Top Rock Challenge - Cortina d'Ampezzo (ITA) 1998,https://ifsc.results.info/event/193/
1998,Top Rock Challenge - Crans Montana (SUI) 1998,https://ifsc.results.info/event/194/
1998,Top Rock Challenge - Grenoble (FRA) 1998,https://ifsc.results.info/event/195/
1998,UIAA Worldcup - Courmayeur (ITA) 1998,https://ifsc.results.info/event/180/
1998,UIAA Masters - Rock Masters Arco (ITA) 1998,https://ifsc.results.info/event/196/
1998,UIAA Worldcup - Milan (ITA) 1998,https://ifsc.results.info/event/181/
1998,European Youth Cup - Aix en Provence (FRA) 1998,https://ifsc.results.info/event/188/
1998,UIAA Worldcup - Kranj (SLO) 1998,https://ifsc.results.info/event/182/
1999,UIAA Worldcup - Wiener Neustadt (AUT) 1999,https://ifsc.results.info/event/197/
1999,UIAA Worldcup - Leipzig (GER) 1999,https://ifsc.results.info/event/1170/
1999,UIAA Worldcup - Besancon (FRA) 1999,https://ifsc.results.info/event/198/
1999,UIAA Worldcup - Benasque (ESP) 1999,https://ifsc.results.info/event/199/
1999,European Youth Cup - Imst (AUT) 1999,https://ifsc.results.info/event/209/
1999,UIAA Worldcup - Val d'Isere (FRA) 1999,https://ifsc.results.info/event/200/
1999,UIAA Worldcup - Chamonix (FRA) 1999,https://ifsc.results.info/event/201/
1999,UIAA Masters - Serre-Chevalier (FRA) 1999,https://ifsc.results.info/event/213/
1999,UIAA Worldcup - Beauregard (ITA) 1999,https://ifsc.results.info/event/202/
1999,UIAA Worldcup - Bardonecchia (ITA) 1999,https://ifsc.results.info/event/203/
1999,UIAA Worldcup - Cortina (ITA) 1999,https://ifsc.results.info/event/204/
1999,European Youth Cup - Bern (SUI) 1999,https://ifsc.results.info/event/210/
1999,UIAA Worldcup - Grenoble (FRA) 1999,https://ifsc.results.info/event/205/
1999,UIAA Youth Worldchampionship - Courmayeur (ITA) 1999,https://ifsc.results.info/event/208/
1999,Int. Event - Arco Rock Master (ITA) 1999,https://ifsc.results.info/event/214/
1999,European Youth Cup - Albertville (FRA) 1999,https://ifsc.results.info/event/211/
1999,UIAA Worldcup - Kranj (SLO) 1999,https://ifsc.results.info/event/206/
1999,EuropeanYouth Cup - Amsterdam (NED) 1999,https://ifsc.results.info/event/212/
1999,UIAA World Championship - Birmingham (GBR) 1999,https://ifsc.results.info/event/207/
1999,Int. Event - Sheffield (GBR) 1999,https://ifsc.results.info/event/215/
2000,UIAA Worldcup - Konitsa (GRE) 2000,https://ifsc.results.info/event/216/
2000,UIAA Worldcup - Millau (FRA) 2000,https://ifsc.results.info/event/217/
2000,European Youth Cup - Imst (AUT) 2000,https://ifsc.results.info/event/231/
2000,UIAA Worldcup - Chamonix (FRA) 2000,https://ifsc.results.info/event/218/
2000,Masters - Serre Chevalier (FRA) 2000,https://ifsc.results.info/event/235/
2000,Int. Event - Serre Chevalier (FRA) 2000,https://ifsc.results.info/event/236/
2000,UIAA Worldcup - Beauregard (ITA) 2000,https://ifsc.results.info/event/219/
2000,Int. Event - L'Argentiere (FRA) 2000,https://ifsc.results.info/event/237/
2000,UIAA Worldcup - München (GER) 2000,https://ifsc.results.info/event/220/
2000,UIAA Worldcup - Grenoble (FRA) 2000,https://ifsc.results.info/event/221/
2000,UIAA World Youth Championship - Amsterdam (NED) 2000,https://ifsc.results.info/event/227/
2000,Pan American Cup - Peru 2000,https://ifsc.results.info/event/234/
2000,Int. Event - Rock Master Arco (ITA) 2000,https://ifsc.results.info/event/238/
2000,UIAA Asian Youth Championship - Beijing (CHN) 2000,https://ifsc.results.info/event/229/
2000,UIAA Worldcup - Rovereto (ITA) 2000,https://ifsc.results.info/event/222/
2000,UIAA Worldcup - Lecco (ITA) 2000,https://ifsc.results.info/event/223/
2000,UIAA Worldcup - Courmayeur (ITA) 2000,https://ifsc.results.info/event/224/
2000,UIAA European Championship - München (GER) 2000,https://ifsc.results.info/event/230/
2000,1. Int. SALEWA Masters - Scheidegg 2000,https://ifsc.results.info/event/239/
2000,European Youth Cup - L'Aprica (ITA) 2000,https://ifsc.results.info/event/232/
2000,UIAA Worldcup - Nantes (FRA) 2000,https://ifsc.results.info/event/225/
2000,UIAA Worldcup - Kranj (SLO) 2000,https://ifsc.results.info/event/226/
2000,UIAA Asian Championship - Kuala Lumpur (MAS) 2000,https://ifsc.results.info/event/228/
2000,European Youth Cup - Kranj (SLO) 2000,https://ifsc.results.info/event/233/
2001,North American Youth Championship - Berkeley (USA) 2001,https://ifsc.results.info/event/263/
2001,Reg. Event - Nordic Championship - Malmö (SWE) 2001,https://ifsc.results.info/event/264/
2001,European Youth Cup Speed - Apatity (RUS) 2001,https://ifsc.results.info/event/256/
2001,European Youth Cup - Apatity (RUS) 2001,https://ifsc.results.info/event/257/
2001,European Youth Cup - Trieste (ITA) 2001,https://ifsc.results.info/event/258/
2001,Int. Event - Fontainebleau (FRA) 2001,https://ifsc.results.info/event/265/
2001,European Youth Cup - Imst (AUT) 2001,https://ifsc.results.info/event/259/
2001,UIAA Youth World Championship SPEED - Imst (AUT) 2001,https://ifsc.results.info/event/251/
2001,UIAA Youth World Championship - Imst(AUT) 2001,https://ifsc.results.info/event/250/
2001,UIAA Worldcup - GAP (FRA) 2001,https://ifsc.results.info/event/240/
2001,European Youth Cup - Arco (ITA) 2001,https://ifsc.results.info/event/260/
2001,UIAA Worldcup - Chamonix (FRA) 2001,https://ifsc.results.info/event/241/
2001,Int. Event - Lake Placid (USA) 2001,https://ifsc.results.info/event/267/
2001,Int. Event - Hood River (USA) 2001,https://ifsc.results.info/event/268/
2001,Int. Event - Serre Chevalier (FRA) 2001,https://ifsc.results.info/event/269/
2001,UIAA Worldcup - Munich (GER ) 2001,https://ifsc.results.info/event/242/
2001,UIAA Asian Youth Championship - Teheran (IRI) 2001,https://ifsc.results.info/event/255/
2001,Int. Event - L'Argentiere (FRA) 2001,https://ifsc.results.info/event/270/
2001,UIAA Worldcup - Rovereto (ITA) 2001,https://ifsc.results.info/event/243/
2001,UIAA World Championship - Winterthur (SUI) 2001,https://ifsc.results.info/event/244/
2001,1st UIAA ASIAN CUP - Kunming (CHN),https://ifsc.results.info/event/252/
2001,Int. Event - Rock Master Arco (ITA) 2001,https://ifsc.results.info/event/271/
2001,UIAA Worldcup - Lecco (ITA) 2001,https://ifsc.results.info/event/245/
2001,Int. Event - Blocmaster Grenoble (FRA) 2001,https://ifsc.results.info/event/272/
2001,European Youth Cup - Aprica (ITA) 2001,https://ifsc.results.info/event/261/
2001,2. Int. SALEWA Masters - Scheidegg (GER) 2001,https://ifsc.results.info/event/273/
2001,UIAA Worldcup - Aprica (ITA) 2001,https://ifsc.results.info/event/246/
2001,Reg. Event - Alpe Adria Cup - Trieste (ITA) 2001,https://ifsc.results.info/event/266/
2001,UIAA Asian Championship - Jakarta (INA) 2001,https://ifsc.results.info/event/253/
2001,UIAA Worldcup - Kuala Lumpur (MAS) 2001,https://ifsc.results.info/event/247/
2001,Int. Event - Master WARSAW (POL) 2001,https://ifsc.results.info/event/274/
2001,UIAA Worldcup - Kranj (SLO) 2001,https://ifsc.results.info/event/248/
2001,Asian Bouldering Championship - Taipei (TPE) 2001,https://ifsc.results.info/event/254/
2001,UIAA Worldcup - Birmingham (GBR) 2001,https://ifsc.results.info/event/249/
2001,European Youth Cup - Birmingham (GBR) 2001,https://ifsc.results.info/event/262/
2002,Latin American Championship,https://ifsc.results.info/event/297/
2002,Int. Event - Marseille International Youth (FRA),https://ifsc.results.info/event/299/
2002,Int. Event - Klimax Goldfinger - Puurs (BEL) 2002,https://ifsc.results.info/event/300/
