rank,category,modality,name,number,country,event_name,Qualification,Semi-Final,Final
31,Women,Boulder,Stasa GEJO,93 •,SRB,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T5z 3 13 (16),,
31,Women,Boulder,Saeko SUGIMURA,63 •,JPN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T3z 8 11 (16),,
33,Women,Boulder,Momoka KANEKO,55 •,JPN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 1 10 (17),,
33,Women,Boulder,Irina KUZMENKO,82 •,RUS,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T4z 2 9 (17),,
35,Women,Boulder,Camille FAILLE,28 •,FRA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 2 5 (18),,
35,Women,Boulder,Saki KIKUCHI,56 •,JPN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T4z 8 13 (18),,
37,Women,Boulder,Flavy COHAUT,27 •,FRA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T4z 12 10 (19),,
37,Women,Boulder,Katrine VANDET SALLING,21 •,DEN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 2 10 (19),,
39,Women,Boulder,Charlotte ANDRE,25 •,FRA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 4 (20),,
39,Women,Boulder,Vera ZIJLSTRA,72 •,NED,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T3z 5 5 (20),,
41,Women,Boulder,Natalie BÄRTSCHI,94 •,SUI,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T3z 5 7 (21),,
41,Women,Boulder,Frederike FELL,40 •,GER,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 5 (21),,
43,Women,Boulder,Isabell ADOLPH,37 •,GER,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 7 (22),,
43,Women,Boulder,Romy FUCHS,41 •,GER,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 7 (22),,
43,Women,Boulder,Johanna FÄRBER,2 •,AUT,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 7 (22),,
43,Women,Boulder,Tiba VROOM,71 •,NED,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T3z 6 4 (22),,
43,Women,Boulder,Jennifer WOOD,36 •,GBR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 7 (22),,
43,Women,Boulder,Sofya YOKOYAMA,99 •,SUI,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T3z 6 4 (22),,
49,Women,Boulder,Valeri KREMER,48 •,ISR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,2T2z 6 2 (24),,
50,Women,Boulder,Johanna HOLFELD,42 •,GER,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T5z 1 14 (25),,
51,Women,Boulder,Valiantsina CHAMIAKINA,12 •,BLR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 8 (26),,
51,Women,Boulder,Hannah MEUL,45 •,GER,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T5z 3 12 (26),,
53,Women,Boulder,Maya MADERE,111 •,USA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 10 (27),,
53,Women,Boulder,Alyssa WEBER,17 •,CAN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 1 6 (27),,
55,Women,Boulder,Sierra BLAIR-COYLE,108 •,USA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 2 7 (28),,
55,Women,Boulder,Tjasa SLEMENSEK,92 •,SLO,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 1 10 (28),,
57,Women,Boulder,Anastasiia EVGENEVA,78 •,RUS,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 3 5 (29),,
57,Women,Boulder,Andrea KÜMIN,97 •,SUI,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 2 8 (29),,
59,Women,Boulder,Andrea EBNER,51 •,ITA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T4z 4 11 (30),,
59,Women,Boulder,Sunniva Eik HAAVE,73 •,NOR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 1 2 (30),,
61,Women,Boulder,Tina Johnsen HAFSAAS,74 •,NOR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 1 6 (31),,
61,Women,Boulder,Rahil RAMEZANI,47 •,IRI,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 1 3 (31),,
63,Women,Boulder,Lisa CHULICH,109 •,USA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 1 7 (32),,
63,Women,Boulder,Rebecca FRANGOS,16 •,CAN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T3z 3 5 (32),,
65,Women,Boulder,Tan SHI HUI,84 •,SGP,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 1 2 (33),,
65,Women,Boulder,Jara SPÄTE,98 •,SUI,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 2 5 (33),,
67,Women,Boulder,Karina BILKOVA,19 •,CZE,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 3 6 (34),,
67,Women,Boulder,Anna TSYGANOVA,83 •,RUS,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 1 4 (34),,
69,Women,Boulder,Amour PAZ,49 •,ISR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 8 7 (35),,
69,Women,Boulder,Olivia WYETT,18 •,CAN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T2z 2 2 (35),,
71,Women,Boulder,Mª Carmen ALARCÓN GRAU,22 •,ESP,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 1 1 (36),,
71,Women,Boulder,Patrícia ANTUNES,13 •,BRA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 1 1 (36),,
71,Women,Boulder,Agniete BALTRUNE,69 •,LTU,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 1 1 (36),,
71,Women,Boulder,Klaudia BUCZEK,76 •,POL,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 1 1 (36),,
71,Women,Boulder,Celine CUYPERS,11 •,BEL,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T4z 0 4 (36),,
71,Women,Boulder,Lucia DÖRFFEL,39 •,GER,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 1 1 (36),,
71,Women,Boulder,Iuliia PANTELEEVA,81 •,RUS,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T4z 0 4 (36),,
71,Women,Boulder,Thais Makino SHIRAIWA,15 •,BRA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 1 1 (36),,
79,Women,Boulder,Katrin AMANN,100 •,SWE,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 3 (38),,
79,Women,Boulder,Linda SJÖDIN,103 •,SWE,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 3 (38),,
79,Women,Boulder,Holly TOOTHILL,34 •,GBR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 3 (38),,
82,Women,Boulder,Nóra KIRÁLY,46 •,HUN,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 4 (41),,
83,Women,Boulder,Elfe CLAES,10 •,BEL,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 2 1 (42),,
83,Women,Boulder,Rhoslyn FRUGTNIET,32 •,GBR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 5 (42),,
83,Women,Boulder,Yael TAUB,50 •,ISR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 2 1 (42),,
86,Women,Boulder,Yevheniia CHERNIAVSKA,107 •,UKR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 6 (43),,
87,Women,Boulder,Sandra JONSSON,102 •,SWE,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 2 2 (44),,
87,Women,Boulder,Luana RISCADO,14 •,BRA,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 2 2 (44),,
87,Women,Boulder,Itziar ZABALA ZURINAGA,23 •,ESP,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T3z 0 10 (44),,
90,Women,Boulder,Sara ENGQVIST,101 •,SWE,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 2 (45),,
91,Women,Boulder,Begüm KAZAZİ,105 •,TUR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 3 1 (46),,
91,Women,Boulder,Alise ZVIGULE,68 •,LAT,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 4 (46),,
93,Women,Boulder,Lotina DIANA,65 •,LAT,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 5 (47),,
93,Women,Boulder,Cirvele KATRĪNA,67 •,LAT,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 3 3 (47),,
93,Women,Boulder,Daniela KOTRBOVA,20 •,CZE,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 3 3 (47),,
96,Women,Boulder,Patrycja CHUDZIAK,77 •,POL,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 6 (48),,
96,Women,Boulder,Sevda GEYIK,104 •,TUR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 6 (48),,
96,Women,Boulder,Lara ÖZAK,106 •,TUR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 6 (48),,
99,Women,Boulder,Heeyeon PARK,64 •,KOR,IFSC Climbing Worldcup (B) - Munich (GER) 2018,1T1z 4 3 (49),,
100,Women,Boulder,Leah JEFFRIES,1 •,AUS,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 6 (50),,
101,Women,Boulder,Dombrovska INTA,66 •,LAT,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T2z 0 13 (51),,
101,Women,Boulder,Anna KRAJUSHKINA,24 •,EST,IFSC Climbing Worldcup (B) - Munich (GER) 2018,0T0z 0 0 (51),,
1,Juniors Male,Boulder,Hamish MCARTHUR,51 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T6z 9 8 (1),3T4z 8 5 (3),4T4z 8 7 (1)
2,Juniors Male,Boulder,Rei KAWAMATA,104 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 8 7 (5),4T4z 11 5 (2),3T4z 9 6 (2)
3,Juniors Male,Boulder,Paul JENFT,46 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 3 6 (7),2T4z 8 13 (4),2T4z 7 10 (3)
4,Juniors Male,Boulder,Ao YURIKUSA,102 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 6 7 (3),4T4z 9 9 (1),2T4z 11 7 (4)
5,Juniors Male,Boulder,Dayan AKHTAR,58 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T5z 10 9 (6),1T4z 3 14 (6),1T3z 7 10 (5)
6,Juniors Male,Boulder,Eliot BARNABÉ,50 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 6 6 (2),2T2z 4 4 (5),0T4z 0 12 (6)
7,Juniors Male,Boulder,Lasse VON FREIER,66 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 3 10 (12),1T3z 1 11 (7),
8,Juniors Male,Boulder,Joshua FOURTEAU,47 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 4 7 (8),1T2z 1 6 (8),
9,Juniors Male,Boulder,Nikita NEVZOROV,157 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 7 9 (4),0T4z 0 16 (9),
10,Juniors Male,Boulder,Michele BONO,91 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 4 10 (14),0T3z 0 7 (10),
11,Juniors Male,Boulder,Andrej POLAK,166 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 6 8 (9),0T3z 0 15 (11),
12,Juniors Male,Boulder,Finley WOOD,53 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T4z 4 11 (20),0T2z 0 3 (12),
13,Juniors Male,Boulder,Lawrence BOGESCHDORFER,8 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 4 9 (18),0T2z 0 5 (13),
14,Juniors Male,Boulder,Semen OVCHINNIKOV,155 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 3 12 (13),0T2z 0 6 (14),
15,Juniors Male,Boulder,Luke GOH WEN BIN,163 •,SGP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 3 7 (11),0T2z 0 8 (15),
16,Juniors Male,Boulder,Tim WÜRTHNER,72 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 2 6 (10),0T2z 0 9 (16),
17,Juniors Male,Boulder,Ties VANCRAEYNEST,9 •,BEL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 4 14 (15),0T2z 0 12 (17),
18,Juniors Male,Boulder,Örjan RÖDLAND VAAGE,134 •,NOR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 1 11 (19),0T1z 0 1 (18),
19,Juniors Male,Boulder,Roman SIVAKOV,130 •,LTU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 1 9 (17),0T1z 0 4 (19),
20,Juniors Male,Boulder,Johannes HOFHERR,7 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 5 10 (16),0T0z 0 0 (20),
21,Juniors Male,Boulder,Paul BRAND,133 •,NED,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 7 (21),,
22,Juniors Male,Boulder,Aj FLYNN,201 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 8 (22),,
23,Juniors Male,Boulder,François MERTENS DE WILMARS,11 •,BEL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 10 (23),,
24,Juniors Male,Boulder,Samuel Carlos DA SILVA,16 •,BRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 11 (24),,
25,Juniors Male,Boulder,Jakub ZIETEK,135 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 13 (25),,
26,Juniors Male,Boulder,Marek JELIGA,30 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 16 (26),,
27,Juniors Male,Boulder,Jonas UTELLI,169 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 20 (27),,
28,Juniors Male,Boulder,Christian WAGNER,23 •,CHI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 7 (28),,
29,Juniors Male,Boulder,Iman AREZEH,81 •,IRI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 8 (29),,
30,Juniors Male,Boulder,Dario JOST,168 •,SUI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 13 (30),,
30,Juniors Male,Boulder,Mykyta MYRONENKO,189 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 13 (30),,
32,Juniors Male,Boulder,Cody STEVENSON,200 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 15 (32),,
33,Juniors Male,Boulder,Egor GOLUBTSOV,161 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 7 (33),,
33,Juniors Male,Boulder,Mateus RODRIGUES BELLOTTO,15 •,BRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 7 (33),,
35,Juniors Male,Boulder,Rodrigo IASI HANADA,17 •,BRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 8 (35),,
36,Juniors Male,Boulder,Jáchym CINK,26 •,CZE,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 16 (36),,
37,Juniors Male,Boulder,Poksakon CHOTIKKRAI,171 •,THA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 12 (37),,
37,Juniors Male,Boulder,Dmitry SEVANKAEV,124 •,LAT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 12 (37),,
39,Juniors Male,Boulder,Zygimantas BICKAITIS,128 •,LTU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 3 (39),,
40,Juniors Male,Boulder,Hurşi̇t İbrahi̇m KILIÇ,172 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 6 (40),,
41,Juniors Male,Boulder,Modestas KLIMAVICIUS,129 •,LTU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 10 (41),,
42,Juniors Male,Boulder,Ferhat BEKMEZ,174 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 11 (42),,
43,Juniors Male,Boulder,Muhammet Ali̇ KESKİN,175 •,TUR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 2 (43),,
44,Juniors Male,Boulder,Azat MAIKOTOV,118 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 7 (44),,
45,Juniors Male,Boulder,Luis Alejandro ESCOBAR,34 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (45),,
45,Juniors Male,Boulder,Vadim ISHMUKHAMETOV,111 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (45),,
45,Juniors Male,Boulder,Isa KONUSHBAEV,122 •,KGZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (45),,
45,Juniors Male,Boulder,Mateo MORENO,31 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (45),,
45,Juniors Male,Boulder,Mathew PADILLA,35 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (45),,
45,Juniors Male,Boulder,Matvey YESSIPOV,106 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (45),,
1,Youth A Male,Boulder,Hannes VAN DUYSEN,10 •,BEL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 4 6 (4),2T4z 5 11 (5),3T4z 8 9 (1)
2,Youth A Male,Boulder,Emil ZIMMERMANN,63 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 1 7 (14),2T4z 5 13 (6),3T4z 9 8 (2)
3,Youth A Male,Boulder,Thorben Perry BLOEM,64 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 2 6 (8),2T4z 3 9 (4),3T4z 10 10 (3)
4,Youth A Male,Boulder,Mejdi SCHALCK,45 •,FRA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 7 8 (1),3T4z 8 8 (1),3T4z 16 12 (4)
5,Youth A Male,Boulder,Edvards GRUZITIS,125 •,LAT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 4 9 (11),3T4z 9 9 (2),2T4z 2 7 (5)
6,Youth A Male,Boulder,Isaac LEFF,196 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 8 8 (2),3T4z 14 20 (3),2T3z 3 5 (6)
7,Youth A Male,Boulder,Jack MACDOUGALL,59 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 6 7 (5),2T3z 2 3 (7),
8,Youth A Male,Boulder,Leander CARMANNS,62 •,GER,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 1 16 (16),2T3z 6 7 (8),
9,Youth A Male,Boulder,Haruki UEMURA,97 •,JPN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",4T6z 9 11 (3),2T3z 8 11 (9),
10,Youth A Male,Boulder,Attila Zsombor RADICS,75 •,HUN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 2 14 (19),1T4z 1 11 (10),
11,Youth A Male,Boulder,Nimród Sebestyén TUSNÁDY,76 •,HUN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 4 10 (12),1T4z 2 10 (11),
12,Youth A Male,Boulder,Adam SHAHAR,199 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 6 10 (7),1T4z 2 18 (12),
13,Youth A Male,Boulder,David ZINSLER,1 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T5z 3 6 (13),1T4z 3 12 (13),
14,Youth A Male,Boulder,Timotej ROMŠAK,165 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",3T6z 6 8 (6),1T3z 2 5 (14),
15,Youth A Male,Boulder,Toby ROBERTS,61 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 4 8 (10),1T3z 2 9 (15),
16,Youth A Male,Boulder,Julian WIMMER,3 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",2T6z 2 7 (9),1T3z 4 6 (16),
17,Youth A Male,Boulder,Benjamin HAIDACHER,2 •,AUT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 2 14 (19),1T3z 5 6 (17),
18,Youth A Male,Boulder,Joseph XIBERRAS,60 •,GBR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 1 10 (15),1T2z 5 9 (18),
19,Youth A Male,Boulder,Slav KIROV,20 •,BUL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 2 7 (17),0T3z 0 13 (19),
20,Youth A Male,Boulder,Vladislav SHUNEVICH,146 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 2 10 (18),0T0z 0 0 (20),
21,Youth A Male,Boulder,Illia MANIAKIN,186 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T6z 3 10 (21),,
22,Youth A Male,Boulder,Lluc MACIÀ LLOBET,38 •,ESP,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 1 12 (22),,
23,Youth A Male,Boulder,Vasil VASSILEV,18 •,BUL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",1T5z 4 12 (23),,
24,Youth A Male,Boulder,Crep LOVRO,167 •,SLO,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 8 (24),,
25,Youth A Male,Boulder,Lucas ODDI,195 •,USA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 10 (25),,
25,Youth A Male,Boulder,Gergő VÁLYI,74 •,HUN,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 10 (25),,
27,Youth A Male,Boulder,Lev SHCHERBAKOV,145 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T6z 0 17 (27),,
28,Youth A Male,Boulder,Piotr NIZNIK,137 •,POL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 17 (28),,
29,Youth A Male,Boulder,Iurii KOVALEV,144 •,RUS,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T5z 0 25 (29),,
30,Youth A Male,Boulder,Oleksii TYTARENKO,178 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 10 (30),,
31,Youth A Male,Boulder,Aman VARMA,78 •,IND,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T4z 0 17 (31),,
32,Youth A Male,Boulder,Jose Tomas LEDESMA,24 •,CHI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (32),,
32,Youth A Male,Boulder,Daniil SAMYSHEV,180 •,UKR,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 4 (32),,
34,Youth A Male,Boulder,Tomas CHICAIZA,32 •,ECU,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T3z 0 13 (34),,
35,Youth A Male,Boulder,Tomass DILANS,123 •,LAT,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T2z 0 9 (35),,
36,Youth A Male,Boulder,Manu JEE,77 •,IND,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 6 (36),,
37,Youth A Male,Boulder,Anton LOGVINETS,121 •,KGZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T1z 0 7 (37),,
38,Youth A Male,Boulder,Yevgeniy BRYAKIN,114 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (38),,
38,Youth A Male,Boulder,Evgenii GORSHKOV,119 •,KGZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (38),,
38,Youth A Male,Boulder,Artem MEDVEDEV,113 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (38),,
38,Youth A Male,Boulder,Shynggys TASTANBEK,117 •,KAZ,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (38),,
38,Youth A Male,Boulder,Joaquin URRUTIA,25 •,CHI,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",0T0z 0 0 (38),,
,Youth A Male,Boulder,Alessandro MELE,86 •,ITA,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",DQB,,
1,Youth B Male,Boulder,Nikolay RUSEV,21 •,BUL,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",5T6z 6 7 (2),3T4z 5 4 (3),3T4z 6 5 (1)
