rank,category,modality,name,number,country,event_name
6,Juniors Male,Lead,César Ciudad MANZANEDO,,ESP,UIAA Youth Worldchampionship - Leipzig 1994
7,Juniors Male,Lead,Frederic SARKANY,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
8,Juniors Male,Lead,Fabrice FARA,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
9,Juniors Male,Lead,Aidar AKBEROV,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
9,Juniors Male,Lead,Marek REPCIK,,SVK,UIAA Youth Worldchampionship - Leipzig 1994
9,Juniors Male,Lead,Enrico SANGANAS,,GER,UIAA Youth Worldchampionship - Leipzig 1994
12,Juniors Male,Lead,Maxim KOZLOV,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
13,Juniors Male,Lead,Hector DELCAMPO,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
13,Juniors Male,Lead,Richard WAGNER,,SVK,UIAA Youth Worldchampionship - Leipzig 1994
15,Juniors Male,Lead,Marc ANDEREGG,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
15,Juniors Male,Lead,Pavel RYVA,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
17,Juniors Male,Lead,Serguei NOURMAMATOV,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
18,Juniors Male,Lead,Ulrich RENGER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
19,Juniors Male,Lead,Marcello BRUCCINI,,ITA,UIAA Youth Worldchampionship - Leipzig 1994
20,Juniors Male,Lead,Milen VIDENOVSKI,,BUL,UIAA Youth Worldchampionship - Leipzig 1994
21,Juniors Male,Lead,Matthias TROTTMANN,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
22,Juniors Male,Lead,Martin DECKER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
23,Juniors Male,Lead,Sam ADAMS,,USA,UIAA Youth Worldchampionship - Leipzig 1994
23,Juniors Male,Lead,Boris NOVAK,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
23,Juniors Male,Lead,Anze SANCA,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
26,Juniors Male,Lead,Georg GSENGER,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
27,Juniors Male,Lead,Bernhard FABER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
28,Juniors Male,Lead,Ciprian CHELARIN,,ROU,UIAA Youth Worldchampionship - Leipzig 1994
29,Juniors Male,Lead,Jeroen JONGENEELEN,,NED,UIAA Youth Worldchampionship - Leipzig 1994
29,Juniors Male,Lead,Jean-françois KOPP,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
31,Juniors Male,Lead,Primoz GRILC,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
32,Juniors Male,Lead,Paul DE LEER,,NED,UIAA Youth Worldchampionship - Leipzig 1994
33,Juniors Male,Lead,Ralf MASANNEK,,GER,UIAA Youth Worldchampionship - Leipzig 1994
1,Youth A Male,Lead,David CARRETERO PEREZ,,ESP,UIAA Youth Worldchampionship - Leipzig 1994
2,Youth A Male,Lead,Anthony LAMICHE,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
2,Youth A Male,Lead,Robert MATE,,GER,UIAA Youth Worldchampionship - Leipzig 1994
2,Youth A Male,Lead,Maksym PETRENKO,,UKR,UIAA Youth Worldchampionship - Leipzig 1994
5,Youth A Male,Lead,Kalin GARBOV,,BUL,UIAA Youth Worldchampionship - Leipzig 1994
5,Youth A Male,Lead,Sylvain MILLET,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
7,Youth A Male,Lead,Urh CEHOVIN,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
7,Youth A Male,Lead,David MARNEZI,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
9,Youth A Male,Lead,Thomas WIMMER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
10,Youth A Male,Lead,Thomas FEUERSTEIN,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth A Male,Lead,Hans MILEWSKI,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
12,Youth A Male,Lead,Jörg ANDREAS,,GER,UIAA Youth Worldchampionship - Leipzig 1994
13,Youth A Male,Lead,Juraj REPCIK,,SVK,UIAA Youth Worldchampionship - Leipzig 1994
14,Youth A Male,Lead,Daniel NIKOV,,BUL,UIAA Youth Worldchampionship - Leipzig 1994
15,Youth A Male,Lead,Timo LAUTENSCHLÄGER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
16,Youth A Male,Lead,Wouter JONGENEELEN,,NED,UIAA Youth Worldchampionship - Leipzig 1994
17,Youth A Male,Lead,Miloslav CHALOUPKA,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
18,Youth A Male,Lead,Christian GROSS,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
19,Youth A Male,Lead,Iouri DOULOUB,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
19,Youth A Male,Lead,Benedikt HAAGER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
21,Youth A Male,Lead,Denis VALEEV,,KAZ,UIAA Youth Worldchampionship - Leipzig 1994
22,Youth A Male,Lead,Mesut ER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
23,Youth A Male,Lead,Nikki ROEGIERS,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
24,Youth A Male,Lead,David STEPANJAN,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth A Male,Lead,Jerôme ABRAHAM,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth A Male,Lead,Alexey CHALYGUINE,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth A Male,Lead,Martin HANSLMAYR,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth A Male,Lead,Urs SCHÖNENBERGER,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth A Male,Lead,Erik WOLF,,NED,UIAA Youth Worldchampionship - Leipzig 1994
30,Youth A Male,Lead,Pim SJAMAAR,,NED,UIAA Youth Worldchampionship - Leipzig 1994
31,Youth A Male,Lead,Michi TRESCH,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
32,Youth A Male,Lead,Peter BRACIC,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
32,Youth A Male,Lead,Karel CERNY,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
34,Youth A Male,Lead,Todor DJAMBAZOV,,BUL,UIAA Youth Worldchampionship - Leipzig 1994
35,Youth A Male,Lead,Luca MODONI,,ITA,UIAA Youth Worldchampionship - Leipzig 1994
36,Youth A Male,Lead,Jiri LANK,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
37,Youth A Male,Lead,Dmitrii BYCHKOV,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
38,Youth A Male,Lead,Alexis MIKOLASCAK,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
38,Youth A Male,Lead,Yuriy SVETLAKOV,,KAZ,UIAA Youth Worldchampionship - Leipzig 1994
40,Youth A Male,Lead,Mike BRINCAT,,USA,UIAA Youth Worldchampionship - Leipzig 1994
41,Youth A Male,Lead,Eduard PROSZA,,ROU,UIAA Youth Worldchampionship - Leipzig 1994
42,Youth A Male,Lead,Florin CORBEI,,ROU,UIAA Youth Worldchampionship - Leipzig 1994
1,Youth B Male,Lead,Frédéric TUSCAN,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
2,Youth B Male,Lead,Ulrich LINDENTHAL,,GER,UIAA Youth Worldchampionship - Leipzig 1994
3,Youth B Male,Lead,David HUME,,USA,UIAA Youth Worldchampionship - Leipzig 1994
4,Youth B Male,Lead,Markus BOCK,,GER,UIAA Youth Worldchampionship - Leipzig 1994
5,Youth B Male,Lead,Christian BURSCHA,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
6,Youth B Male,Lead,Heiko WILHELM,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
7,Youth B Male,Lead,Stephane ROSUET,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
8,Youth B Male,Lead,Evgueni PESTOV,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
8,Youth B Male,Lead,Ales STROJAN,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
10,Youth B Male,Lead,Evgeny RYBALKIN,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth B Male,Lead,Pierre BOLLINGER,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth B Male,Lead,Ben BRANSBY,,GBR,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth B Male,Lead,Florian FENDER,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
14,Youth B Male,Lead,Petr OSTROVERKHOV,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
15,Youth B Male,Lead,Daniel KADLEC,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
16,Youth B Male,Lead,Larno DERZOV,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
16,Youth B Male,Lead,Tomas STEJSKAL,,SVK,UIAA Youth Worldchampionship - Leipzig 1994
18,Youth B Male,Lead,Lukas DOLEZAL,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
18,Youth B Male,Lead,Uros GRILC,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
18,Youth B Male,Lead,Matej SOVA,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
21,Youth B Male,Lead,Andreas GRETH,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
22,Youth B Male,Lead,Julien ZAMBETTI,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
23,Youth B Male,Lead,Patxi USOBIAGA LAKUNZA,,ESP,UIAA Youth Worldchampionship - Leipzig 1994
24,Youth B Male,Lead,Denis SKRINNIK,,UKR,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth B Male,Lead,Jakub CERMAK,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth B Male,Lead,Denis HUSTINX,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
25,Youth B Male,Lead,Matthias MÜLLER,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
28,Youth B Male,Lead,Keith WILLIAMS,,USA,UIAA Youth Worldchampionship - Leipzig 1994
29,Youth B Male,Lead,Ioan MOLDOVAN,,ROU,UIAA Youth Worldchampionship - Leipzig 1994
29,Youth B Male,Lead,Cristian PUGLIA,,ITA,UIAA Youth Worldchampionship - Leipzig 1994
1,Juniors Female,Lead,Marie GUILLET,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
2,Juniors Female,Lead,Irina ZAYTSEVA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
3,Juniors Female,Lead,Larissa BURONOVA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
4,Juniors Female,Lead,Cecile MAILLARD,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
5,Juniors Female,Lead,Olga BIBIK,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
6,Juniors Female,Lead,Marianne BERGER,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
6,Juniors Female,Lead,Vanessa RASQUINET,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
8,Juniors Female,Lead,Kim ANTHONI,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
8,Juniors Female,Lead,Romana KARESOVA,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
10,Juniors Female,Lead,Olena RYEPKO,,UKR,UIAA Youth Worldchampionship - Leipzig 1994
11,Juniors Female,Lead,Romy GRÄMER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
12,Juniors Female,Lead,Nataliy PASHENNIK,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
13,Juniors Female,Lead,Nataliya PERLOVA,,UKR,UIAA Youth Worldchampionship - Leipzig 1994
14,Juniors Female,Lead,Ulrike FALTENBACHER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
14,Juniors Female,Lead,Verena LAMMEL,,GER,UIAA Youth Worldchampionship - Leipzig 1994
14,Juniors Female,Lead,Stella MARCHISIO,,ITA,UIAA Youth Worldchampionship - Leipzig 1994
1,Youth A Female,Lead,Liv SANSOZ,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
2,Youth A Female,Lead,Mayya PIRATINSKAYA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
3,Youth A Female,Lead,Irina ROUIGA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
4,Youth A Female,Lead,Tatiana RUYGA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
5,Youth A Female,Lead,Martina CUFAR,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
6,Youth A Female,Lead,Veronika HUNKOVA,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
6,Youth A Female,Lead,Séverine LIZIN,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
6,Youth A Female,Lead,Eve PRICKETT,,GBR,UIAA Youth Worldchampionship - Leipzig 1994
6,Youth A Female,Lead,Katrin SEDLMAYER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
10,Youth A Female,Lead,Claire MIMET,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth A Female,Lead,Heike ARNOLD,,GER,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth A Female,Lead,Claire BENAIT,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
13,Youth A Female,Lead,Lenca GRADISAR,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
13,Youth A Female,Lead,Annatina SCHULTZ,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
15,Youth A Female,Lead,Rebeka POCEK,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
16,Youth A Female,Lead,Holly TONKIN,,USA,UIAA Youth Worldchampionship - Leipzig 1994
17,Youth A Female,Lead,Adela GUDEA,,ROU,UIAA Youth Worldchampionship - Leipzig 1994
1,Youth B Female,Lead,Iva HARTMANN,,SUI,UIAA Youth Worldchampionship - Leipzig 1994
2,Youth B Female,Lead,Ameli HAAGER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
3,Youth B Female,Lead,Nicola HAAGER,,GER,UIAA Youth Worldchampionship - Leipzig 1994
4,Youth B Female,Lead,Katarina STREMFELJ,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
5,Youth B Female,Lead,Lioudmila PACHNINA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
6,Youth B Female,Lead,Eva TUSAR,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
7,Youth B Female,Lead,Anna EGORTSEVA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
7,Youth B Female,Lead,Maja SUSTAR,,SLO,UIAA Youth Worldchampionship - Leipzig 1994
9,Youth B Female,Lead,Natalia LUKIANOVA,,RUS,UIAA Youth Worldchampionship - Leipzig 1994
10,Youth B Female,Lead,Laure LESER,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
11,Youth B Female,Lead,Pascalaie LOUVEL,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
12,Youth B Female,Lead,Anne LAUDISOIT,,BEL,UIAA Youth Worldchampionship - Leipzig 1994
13,Youth B Female,Lead,Marianna TRUFAKINA,,UKR,UIAA Youth Worldchampionship - Leipzig 1994
14,Youth B Female,Lead,Klara HUNKOVA,,CZE,UIAA Youth Worldchampionship - Leipzig 1994
15,Youth B Female,Lead,Nadia COUVERT,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
16,Youth B Female,Lead,Henriette TEN SIJTHOFF,,NED,UIAA Youth Worldchampionship - Leipzig 1994
17,Youth B Female,Lead,Bettina SCHÖPF,,AUT,UIAA Youth Worldchampionship - Leipzig 1994
18,Youth B Female,Lead,Elodie DAMBEL,,FRA,UIAA Youth Worldchampionship - Leipzig 1994
19,Youth B Female,Lead,Radka PETKOVA,,BUL,UIAA Youth Worldchampionship - Leipzig 1994
20,Youth B Female,Lead,Clare LYON,,USA,UIAA Youth Worldchampionship - Leipzig 1994
21,Youth B Female,Lead,Jennifer HILGENDORF,,GER,UIAA Youth Worldchampionship - Leipzig 1994
22,Youth B Female,Lead,Hannah SCHUBERT,,GER,UIAA Youth Worldchampionship - Leipzig 1994
1,Men,Lead,François LOMBARD,,FRA,UIAA Worldcup - Aix-les-Bains 1994
2,Men,Lead,Fabien MAZUER,,FRA,UIAA Worldcup - Aix-les-Bains 1994
3,Men,Lead,Cristian BRENNA,,ITA,UIAA Worldcup - Aix-les-Bains 1994
4,Men,Lead,Salavat RAKHMETOV,,RUS,UIAA Worldcup - Aix-les-Bains 1994
5,Men,Lead,Elie CHEVIEUX,,SUI,UIAA Worldcup - Aix-les-Bains 1994
6,Men,Lead,Jean-baptiste TRIBOUT,,FRA,UIAA Worldcup - Aix-les-Bains 1994
6,Men,Lead,Ian VICKERS,,GBR,UIAA Worldcup - Aix-les-Bains 1994
8,Men,Lead,François COFFY,,FRA,UIAA Worldcup - Aix-les-Bains 1994
9,Men,Lead,Rafael CABANE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
9,Men,Lead,Serik KAZBEKOV,,UKR,UIAA Worldcup - Aix-les-Bains 1994
9,Men,Lead,François PETIT,,FRA,UIAA Worldcup - Aix-les-Bains 1994
9,Men,Lead,Pedro PONS,,ESP,UIAA Worldcup - Aix-les-Bains 1994
13,Men,Lead,Luca GIUPPONI,,ITA,UIAA Worldcup - Aix-les-Bains 1994
13,Men,Lead,Arnaud PETIT,,FRA,UIAA Worldcup - Aix-les-Bains 1994
15,Men,Lead,Alexander ADLER,,GER,UIAA Worldcup - Aix-les-Bains 1994
15,Men,Lead,Patxi AROCENA,,ESP,UIAA Worldcup - Aix-les-Bains 1994
15,Men,Lead,Neil CARSON,,GBR,UIAA Worldcup - Aix-les-Bains 1994
15,Men,Lead,Evgeny OVCHINNIKOV,,RUS,UIAA Worldcup - Aix-les-Bains 1994
15,Men,Lead,Kairat RAKHMETOV,,KAZ,UIAA Worldcup - Aix-les-Bains 1994
20,Men,Lead,David VILLIEN,,FRA,UIAA Worldcup - Aix-les-Bains 1994
21,Men,Lead,Samuel BIE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
21,Men,Lead,David CARRETERO PEREZ,,ESP,UIAA Worldcup - Aix-les-Bains 1994
23,Men,Lead,Pavel SAMOILINE,,RUS,UIAA Worldcup - Aix-les-Bains 1994
24,Men,Lead,Stéphane FRESSOZ,,FRA,UIAA Worldcup - Aix-les-Bains 1994
24,Men,Lead,Luca ZARDINI,,ITA,UIAA Worldcup - Aix-les-Bains 1994
26,Men,Lead,Florian HAGE,,GER,UIAA Worldcup - Aix-les-Bains 1994
27,Men,Lead,Yevgen KRYVOSHEYTSEV,,UKR,UIAA Worldcup - Aix-les-Bains 1994
28,Men,Lead,Kalin GARBOV,,BUL,UIAA Worldcup - Aix-les-Bains 1994
29,Men,Lead,Pascal GISLER,,SUI,UIAA Worldcup - Aix-les-Bains 1994
30,Men,Lead,Paul DEWILDE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
31,Men,Lead,Phillipe MUSSATTO,,FRA,UIAA Worldcup - Aix-les-Bains 1994
32,Men,Lead,Jean Paul FINNE,,BEL,UIAA Worldcup - Aix-les-Bains 1994
33,Men,Lead,Ludovic LAURENCE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
34,Men,Lead,Frédéric NICOLE,,SUI,UIAA Worldcup - Aix-les-Bains 1994
35,Men,Lead,Vincent ALBRAND,,FRA,UIAA Worldcup - Aix-les-Bains 1994
35,Men,Lead,Stefano ALIPPI,,ITA,UIAA Worldcup - Aix-les-Bains 1994
35,Men,Lead,Matej MEJOVSEK,,SLO,UIAA Worldcup - Aix-les-Bains 1994
38,Men,Lead,Jean Luc DANIS,,FRA,UIAA Worldcup - Aix-les-Bains 1994
39,Men,Lead,Serguei CHEMOULINKINE,,RUS,UIAA Worldcup - Aix-les-Bains 1994
39,Men,Lead,Werner THON,,GER,UIAA Worldcup - Aix-les-Bains 1994
41,Men,Lead,Andreas BINDHAMMER,,GER,UIAA Worldcup - Aix-les-Bains 1994
41,Men,Lead,Frédéric COROLLER,,FRA,UIAA Worldcup - Aix-les-Bains 1994
41,Men,Lead,Doug ENGLEKIRK,,USA,UIAA Worldcup - Aix-les-Bains 1994
41,Men,Lead,Pavel KORAN,,CZE,UIAA Worldcup - Aix-les-Bains 1994
45,Men,Lead,Fabrice FARA,,FRA,UIAA Worldcup - Aix-les-Bains 1994
46,Men,Lead,Igor KOLLAR,,SVK,UIAA Worldcup - Aix-les-Bains 1994
47,Men,Lead,Milan BENIAN,,CZE,UIAA Worldcup - Aix-les-Bains 1994
47,Men,Lead,John CRONIN,,USA,UIAA Worldcup - Aix-les-Bains 1994
47,Men,Lead,Vili GUCEK,,SLO,UIAA Worldcup - Aix-les-Bains 1994
47,Men,Lead,Laurent LAPORTE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
47,Men,Lead,Marek REPCIK,,SVK,UIAA Worldcup - Aix-les-Bains 1994
52,Men,Lead,Jacek JURKOWSKI,,POL,UIAA Worldcup - Aix-les-Bains 1994
53,Men,Lead,Jason CAMPBEL,,USA,UIAA Worldcup - Aix-les-Bains 1994
53,Men,Lead,Olivier FOURBET,,FRA,UIAA Worldcup - Aix-les-Bains 1994
55,Men,Lead,Scott FRANKLIN,,USA,UIAA Worldcup - Aix-les-Bains 1994
55,Men,Lead,Frederic SARKANY,,BEL,UIAA Worldcup - Aix-les-Bains 1994
57,Men,Lead,Jae-hun HAN,,KOR,UIAA Worldcup - Aix-les-Bains 1994
57,Men,Lead,Milen VIDENOVSKI,,BUL,UIAA Worldcup - Aix-les-Bains 1994
59,Men,Lead,Christian CORE,,ITA,UIAA Worldcup - Aix-les-Bains 1994
59,Men,Lead,Michael LEA,,GBR,UIAA Worldcup - Aix-les-Bains 1994
61,Men,Lead,Stefan FÜRST,,AUT,UIAA Worldcup - Aix-les-Bains 1994
61,Men,Lead,Marcin WROBEL,,POL,UIAA Worldcup - Aix-les-Bains 1994
63,Men,Lead,John ARRAN,,GBR,UIAA Worldcup - Aix-les-Bains 1994
63,Men,Lead,Marcello BRUCCINI,,ITA,UIAA Worldcup - Aix-les-Bains 1994
63,Men,Lead,Aljosa GROM,,SLO,UIAA Worldcup - Aix-les-Bains 1994
63,Men,Lead,Gerhard HÖRHAGER,,AUT,UIAA Worldcup - Aix-les-Bains 1994
63,Men,Lead,Peter KMOSKO,,SVK,UIAA Worldcup - Aix-les-Bains 1994
63,Men,Lead,Riccardo SCARIAN,,ITA,UIAA Worldcup - Aix-les-Bains 1994
69,Men,Lead,Jae-yong LEE,,KOR,UIAA Worldcup - Aix-les-Bains 1994
69,Men,Lead,Christian ROUMEGOUX,,FRA,UIAA Worldcup - Aix-les-Bains 1994
71,Men,Lead,Benjamin PIRAPREZ,,BEL,UIAA Worldcup - Aix-les-Bains 1994
72,Men,Lead,Dong-hyun KIM,,KOR,UIAA Worldcup - Aix-les-Bains 1994
73,Men,Lead,Grzgorz KIMLA,,POL,UIAA Worldcup - Aix-les-Bains 1994
73,Men,Lead,Jaroslav MLYNAR,,CZE,UIAA Worldcup - Aix-les-Bains 1994
75,Men,Lead,Kenji IIYAMA,,JPN,UIAA Worldcup - Aix-les-Bains 1994
75,Men,Lead,Vladimir ZAKHAROV,,UKR,UIAA Worldcup - Aix-les-Bains 1994
77,Men,Lead,Ionel ENE,,ROU,UIAA Worldcup - Aix-les-Bains 1994
77,Men,Lead,Chris FOSSLI,,NOR,UIAA Worldcup - Aix-les-Bains 1994
77,Men,Lead,Olivier FRENETTE,,CAN,UIAA Worldcup - Aix-les-Bains 1994
77,Men,Lead,Martin REIMERS,,NOR,UIAA Worldcup - Aix-les-Bains 1994
81,Men,Lead,Andrei KRIVONOS,,UKR,UIAA Worldcup - Aix-les-Bains 1994
81,Men,Lead,Metin MUSSOV,,BUL,UIAA Worldcup - Aix-les-Bains 1994
81,Men,Lead,Carl SELLMAN,,SWE,UIAA Worldcup - Aix-les-Bains 1994
999,Men,Lead,François LEGRAND,,FRA,UIAA Worldcup - Aix-les-Bains 1994
1,Women,Lead,Robyn ERBESFIELD,,USA,UIAA Worldcup - Aix-les-Bains 1994
2,Women,Lead,Isabelle PATISSIER,,FRA,UIAA Worldcup - Aix-les-Bains 1994
3,Women,Lead,Liv SANSOZ,,FRA,UIAA Worldcup - Aix-les-Bains 1994
4,Women,Lead,Natalie RICHER,,FRA,UIAA Worldcup - Aix-les-Bains 1994
5,Women,Lead,Laurence GUYON,,FRA,UIAA Worldcup - Aix-les-Bains 1994
6,Women,Lead,Marie GUILLET,,FRA,UIAA Worldcup - Aix-les-Bains 1994
7,Women,Lead,Yulia INOZEMTSEVA,,RUS,UIAA Worldcup - Aix-les-Bains 1994
7,Women,Lead,Metka LUKANCIC,,SLO,UIAA Worldcup - Aix-les-Bains 1994
7,Women,Lead,Muriel SARKANY,,BEL,UIAA Worldcup - Aix-les-Bains 1994
10,Women,Lead,Marietta UHDEN,,GER,UIAA Worldcup - Aix-les-Bains 1994
11,Women,Lead,Tamara SCHLEMMER,,GER,UIAA Worldcup - Aix-les-Bains 1994
12,Women,Lead,Elena CHOUMILOVA,,RUS,UIAA Worldcup - Aix-les-Bains 1994
13,Women,Lead,Barbara STRANSKA,,CZE,UIAA Worldcup - Aix-les-Bains 1994
14,Women,Lead,Isabelle PALLE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
15,Women,Lead,Angela STRIECKS,,GER,UIAA Worldcup - Aix-les-Bains 1994
16,Women,Lead,Cecile AVEZOU,,FRA,UIAA Worldcup - Aix-les-Bains 1994
16,Women,Lead,Mia AXON,,USA,UIAA Worldcup - Aix-les-Bains 1994
16,Women,Lead,Stéphanie BODET,,FRA,UIAA Worldcup - Aix-les-Bains 1994
16,Women,Lead,Martina CUFAR,,SLO,UIAA Worldcup - Aix-les-Bains 1994
20,Women,Lead,Luisa IOVANE,,ITA,UIAA Worldcup - Aix-les-Bains 1994
20,Women,Lead,Elena OVTCHINNIKOVA,,USA,UIAA Worldcup - Aix-les-Bains 1994
20,Women,Lead,Shelly PRESSON,,USA,UIAA Worldcup - Aix-les-Bains 1994
20,Women,Lead,Nanette RAYBAUD,,FRA,UIAA Worldcup - Aix-les-Bains 1994
24,Women,Lead,Felicity BUTLER,,GBR,UIAA Worldcup - Aix-les-Bains 1994
24,Women,Lead,Ruth JENKINS,,GBR,UIAA Worldcup - Aix-les-Bains 1994
26,Women,Lead,Karin KAVOUSSI,,AUT,UIAA Worldcup - Aix-les-Bains 1994
26,Women,Lead,Cecile MAILLARD,,FRA,UIAA Worldcup - Aix-les-Bains 1994
26,Women,Lead,Claire MIMET,,FRA,UIAA Worldcup - Aix-les-Bains 1994
29,Women,Lead,Anne GRAY,,SUI,UIAA Worldcup - Aix-les-Bains 1994
29,Women,Lead,Silvia PEARSONS,,GBR,UIAA Worldcup - Aix-les-Bains 1994
31,Women,Lead,Margaux HILLY,,FRA,UIAA Worldcup - Aix-les-Bains 1994
32,Women,Lead,Catherine MIQUEL,,FRA,UIAA Worldcup - Aix-les-Bains 1994
33,Women,Lead,Gaèle GIOT,,FRA,UIAA Worldcup - Aix-les-Bains 1994
33,Women,Lead,Naomi GUY,,GBR,UIAA Worldcup - Aix-les-Bains 1994
33,Women,Lead,Marie-annick PIAT,,FRA,UIAA Worldcup - Aix-les-Bains 1994
36,Women,Lead,Christine LACOUR,,FRA,UIAA Worldcup - Aix-les-Bains 1994
37,Women,Lead,Florance DUTARTRE,,FRA,UIAA Worldcup - Aix-les-Bains 1994
37,Women,Lead,Marina KLEONOVA,,RUS,UIAA Worldcup - Aix-les-Bains 1994
39,Women,Lead,Marianne BERGER,,FRA,UIAA Worldcup - Aix-les-Bains 1994
