rank,category,modality,name,number,country,event_name
7,Women,Lead,Venera CHERESHNEVA,,RUS,UIAA Worldcup - Clusone 1991
7,Women,Lead,Iwona GRONKIEWICZ-MARCISZ,,POL,UIAA Worldcup - Clusone 1991
7,Women,Lead,Anna IBANEZ-TUDORAS,,ESP,UIAA Worldcup - Clusone 1991
11,Women,Lead,Felicity BUTLER,,GBR,UIAA Worldcup - Clusone 1991
12,Women,Lead,Paola PONS,,ITA,UIAA Worldcup - Clusone 1991
13,Women,Lead,Nanette RAYBAUD,,FRA,UIAA Worldcup - Clusone 1991
14,Women,Lead,Lynn HILL,,USA,UIAA Worldcup - Clusone 1991
15,Women,Lead,Natalia KOSMACHEVA,,RUS,UIAA Worldcup - Clusone 1991
16,Women,Lead,Natalie RICHER,,FRA,UIAA Worldcup - Clusone 1991
17,Women,Lead,Claudine TRECOURT,,FRA,UIAA Worldcup - Clusone 1991
18,Women,Lead,Monica MALGAROTTO,,ITA,UIAA Worldcup - Clusone 1991
19,Women,Lead,Ineke DIJKSTRA,,NED,UIAA Worldcup - Clusone 1991
20,Women,Lead,Raffaella VALSECCHI,,ITA,UIAA Worldcup - Clusone 1991
21,Women,Lead,Yulia INOZEMTSEVA,,RUS,UIAA Worldcup - Clusone 1991
21,Women,Lead,Pascale NOEL,,LUX,UIAA Worldcup - Clusone 1991
23,Women,Lead,Miranda ORTAR,,SLO,UIAA Worldcup - Clusone 1991
24,Women,Lead,Daniela LUZZINI,,ITA,UIAA Worldcup - Clusone 1991
25,Women,Lead,Jill GARDINER,,GBR,UIAA Worldcup - Clusone 1991
25,Women,Lead,Barbara HIRSCHBICHLER,,GER,UIAA Worldcup - Clusone 1991
25,Women,Lead,Corinne LABRUNE,,FRA,UIAA Worldcup - Clusone 1991
28,Women,Lead,Daniela VANHAROVA,,CZE,UIAA Worldcup - Clusone 1991
29,Women,Lead,Mihaela CRACIUN-PANTIS,,ROU,UIAA Worldcup - Clusone 1991
30,Women,Lead,Agnès BRARD,,FRA,UIAA Worldcup - Clusone 1991
30,Women,Lead,Marie-annick PIAT,,FRA,UIAA Worldcup - Clusone 1991
32,Women,Lead,Isabelle LAFFONT,,FRA,UIAA Worldcup - Clusone 1991
32,Women,Lead,Tamara SCHLEMMER,,GER,UIAA Worldcup - Clusone 1991
34,Women,Lead,Simona SKARJA,,SLO,UIAA Worldcup - Clusone 1991
35,Women,Lead,Karin BLESS-REITH,,SUI,UIAA Worldcup - Clusone 1991
35,Women,Lead,Gunda FRÜHWALD,,GER,UIAA Worldcup - Clusone 1991
35,Women,Lead,Delyth GOODEY,,GBR,UIAA Worldcup - Clusone 1991
35,Women,Lead,Dagmar PFAFFENBICHLER,,AUT,UIAA Worldcup - Clusone 1991
39,Women,Lead,Metka LUKANCIC,,SLO,UIAA Worldcup - Clusone 1991
40,Women,Lead,Taitiana DMITRIEVSKAYA,,RUS,UIAA Worldcup - Clusone 1991
41,Women,Lead,Raffaella NEGRETTI,,ITA,UIAA Worldcup - Clusone 1991
