Local,Date,Href
M-Ar,12/09/1997 – 13/09/1997,https://ifsc.results.info/event/175/
W-Co,04/09/1997 – 05/09/1997,https://ifsc.results.info/event/166/
W-Kr,08/11/1997 – 09/11/1997,https://ifsc.results.info/event/167/
JWM,13/11/1997 – 14/11/1997,https://ifsc.results.info/event/170/
W-Bi,28/11/1997 – 29/11/1997,https://ifsc.results.info/event/168/
W-Im,21/11/1997 – 22/11/1997,https://ifsc.results.info/event/169/
EC-Nürnberg,02/04/1998 – 03/04/1998,https://ifsc.results.info/event/184/
E-Dortmund,11/06/1998 – 12/06/1998,https://ifsc.results.info/event/185/
E-Triest,03/07/1998 – 04/07/1998,https://ifsc.results.info/event/186/
E-Imst,10/07/1998 – 11/07/1998,https://ifsc.results.info/event/187/
T-V.d'Isere,11/07/1998 – 12/07/1998,https://ifsc.results.info/event/189/
J_WM,15/07/1998 – 16/07/1998,https://ifsc.results.info/event/183/
T-Chamonix,16/07/1998 – 17/07/1998,https://ifsc.results.info/event/190/
M-Serre Chevalier,22/07/1998 – 23/07/1998,https://ifsc.results.info/event/191/
W-Beauregard,31/07/1998 – 01/08/1998,https://ifsc.results.info/event/179/
T-Cortina,13/08/1998 – 14/08/1998,https://ifsc.results.info/event/192/
T-Valloire,06/08/1998 – 07/08/1998,https://ifsc.results.info/event/193/
T-Cr.Montana,21/08/1998 – 22/08/1998,https://ifsc.results.info/event/194/
T-Grenoble,27/08/1998 – 28/08/1998,https://ifsc.results.info/event/195/
W-Courmayeur,03/09/1998 – 04/09/1998,https://ifsc.results.info/event/180/
M-Arco,11/09/1998 – 12/09/1998,https://ifsc.results.info/event/196/
W-Milan,08/10/1998 – 09/10/1998,https://ifsc.results.info/event/181/
E-Aix en Provence,30/10/1998 – 31/10/1998,https://ifsc.results.info/event/188/
W-Kranj,13/11/1998 – 14/11/1998,https://ifsc.results.info/event/182/
Wien,15/04/1999 – 16/04/1999,https://ifsc.results.info/event/197/
W-Leipzig,27/05/1999 – 28/05/1999,https://ifsc.results.info/event/1170/
W-Besancon,09/06/1999 – 10/06/1999,https://ifsc.results.info/event/198/
Imst,09/07/1999 – 10/07/1999,https://ifsc.results.info/event/199/
WC Benasque,02/07/1999 – 03/07/1999,https://ifsc.results.info/event/209/
WC Val d'Isere,10/07/1999 – 11/07/1999,https://ifsc.results.info/event/200/
WC Chamonix,16/07/1999 – 17/07/1999,https://ifsc.results.info/event/201/
Ma Serre-Chev.,21/07/1999 – 22/07/1999,https://ifsc.results.info/event/213/
WC Beauregard,23/07/1999 – 24/07/1999,https://ifsc.results.info/event/202/
WC Bardonecchia,30/07/1999 – 31/07/1999,https://ifsc.results.info/event/203/
WC Cortina,12/08/1999 – 13/08/1999,https://ifsc.results.info/event/204/
Bern,13/08/1999 – 14/08/1999,https://ifsc.results.info/event/210/
WC Grenoble,27/08/1999 – 28/08/1999,https://ifsc.results.info/event/205/
IE Arco,09/09/1999 – 10/09/1999,https://ifsc.results.info/event/208/
JWM,02/09/1999 – 03/09/1999,https://ifsc.results.info/event/214/
Albertville,15/10/1999 – 16/10/1999,https://ifsc.results.info/event/211/
W-Kranj,11/11/1999 – 12/11/1999,https://ifsc.results.info/event/206/
Amsterdam,26/11/1999 – 27/11/1999,https://ifsc.results.info/event/212/
WM Birmingham,02/12/1999 – 03/12/1999,https://ifsc.results.info/event/207/
IE Sheffield,06/12/1999 – 07/12/1999,https://ifsc.results.info/event/215/
Konitsa,26/05/2000 – 27/05/2000,https://ifsc.results.info/event/216/
Milau,31/05/2000 – 01/06/2000,https://ifsc.results.info/event/217/
Imst,02/06/2000 – 03/06/2000,https://ifsc.results.info/event/231/
Chamonix,11/07/2000 – 12/07/2000,https://ifsc.results.info/event/218/
Serre Chevalier,19/07/2000 – 20/07/2000,https://ifsc.results.info/event/235/
Beauregard,21/07/2000 – 22/07/2000,https://ifsc.results.info/event/236/
Serre Chevalier,16/07/2000 – 17/07/2000,https://ifsc.results.info/event/219/
L'Argentiere,24/07/2000 – 25/07/2000,https://ifsc.results.info/event/237/
München,03/08/2000 – 04/08/2000,https://ifsc.results.info/event/220/
Grenoble,31/08/2000 – 01/09/2000,https://ifsc.results.info/event/221/
Peru,31/08/2000 – 01/09/2000,https://ifsc.results.info/event/227/
Amsterdam,31/08/2000 – 01/09/2000,https://ifsc.results.info/event/234/
Arco,08/09/2000 – 09/09/2000,https://ifsc.results.info/event/238/
Beijing,14/09/2000 – 15/09/2000,https://ifsc.results.info/event/229/
Rovereto,15/09/2000 – 16/09/2000,https://ifsc.results.info/event/222/
Lecco,22/09/2000 – 23/09/2000,https://ifsc.results.info/event/223/
Courmayeur,28/09/2000 – 29/09/2000,https://ifsc.results.info/event/224/
EM München,06/10/2000 – 07/10/2000,https://ifsc.results.info/event/230/
