source_event_url,event_id,source_url_layer,event_name,dcat_name,dcat_status,dcat_status_as_of,dcat_ranking_as_of,cutoff_rank,category_round_id,round_kind,round_name,round_category,round_status,round_status_as_of,round_result_url,format_identifier,format,league_round_id,stage_id,stage_name,stage_kind,stage_status,stage_status_as_of,stage_results_url,route_id,route_name,route_startlist_url,route_results_url
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3805,boulder,Qualification,Men,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3805/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3890,1,/api/v1/routes/3890/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3805,boulder,Qualification,Men,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3805/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3891,2,/api/v1/routes/3891/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3805,boulder,Qualification,Men,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3805/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3892,3,/api/v1/routes/3892/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3805,boulder,Qualification,Men,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3805/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3893,4,/api/v1/routes/3893/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3805,boulder,Qualification,Men,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3805/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3894,5,/api/v1/routes/3894/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3806,boulder,Semi-Final,Men,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3806/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3895,1,/api/v1/routes/3895/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3806,boulder,Semi-Final,Men,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3806/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3896,2,/api/v1/routes/3896/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3806,boulder,Semi-Final,Men,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3806/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3897,3,/api/v1/routes/3897/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3806,boulder,Semi-Final,Men,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3806/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3898,4,/api/v1/routes/3898/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3807,boulder,Final,Men,finished,2021-04-09 08:31:00 UTC,/api/v1/category_rounds/3807/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,3,,,,,,,3899,1,/api/v1/routes/3899/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3807,boulder,Final,Men,finished,2021-04-09 08:31:00 UTC,/api/v1/category_rounds/3807/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,3,,,,,,,3900,2,/api/v1/routes/3900/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3807,boulder,Final,Men,finished,2021-04-09 08:31:00 UTC,/api/v1/category_rounds/3807/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,3,,,,,,,3901,3,/api/v1/routes/3901/startlist,
/api/v1/events/937/result/3,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Men,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:18 UTC,,3807,boulder,Final,Men,finished,2021-04-09 08:31:00 UTC,/api/v1/category_rounds/3807/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,3,,,,,,,3902,4,/api/v1/routes/3902/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3802,boulder,Qualification,Women,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3802/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3877,1,/api/v1/routes/3877/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3802,boulder,Qualification,Women,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3802/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3878,2,/api/v1/routes/3878/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3802,boulder,Qualification,Women,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3802/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3879,3,/api/v1/routes/3879/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3802,boulder,Qualification,Women,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3802/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3880,4,/api/v1/routes/3880/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3802,boulder,Qualification,Women,finished,2021-04-09 08:30:39 UTC,/api/v1/category_rounds/3802/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3881,5,/api/v1/routes/3881/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3803,boulder,Semi-Final,Women,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3803/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3882,1,/api/v1/routes/3882/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3803,boulder,Semi-Final,Women,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3803/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3883,2,/api/v1/routes/3883/startlist,
/api/v1/events/937/result/7,937,full_results_url,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,BOULDER Women,finished,2025-10-02 07:18:26 UTC,2026-04-22 09:57:22 UTC,,3803,boulder,Semi-Final,Women,finished,2021-04-09 08:30:56 UTC,/api/v1/category_rounds/3803/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3884,3,/api/v1/routes/3884/startlist,
