source_event_url,event_id,source_url_layer,event_name,dcat_name,dcat_status,dcat_status_as_of,dcat_ranking_as_of,cutoff_rank,athlete_id,squad_id,athlete_rank,athlete_name,bib_number,firstname,lastname,country,organisation_id,flag_url,category_round_id,round_name,round_rank,round_score,stage_name,stage_score,stage_rank,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,low_zone_tries,points,score,plus,restarted,time_ms,ascent_status,ascent_modified
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13915,,1.0,David Julian,108,Julian,DAVID,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9748,Qualification,1.0,5.16,,,,15925.0,A,,,,,,,,,,,5376.0,locked,2025-02-22 01:28:06 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13915,,1.0,David Julian,108,Julian,DAVID,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9748,Qualification,1.0,5.16,,,,15926.0,B,,,,,,,,,,,5166.0,locked,2025-02-22 01:30:30 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13915,,1.0,David Julian,108,Julian,DAVID,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9849,Final,1.0,5.86,1/4,6.65,0.0,15929.0,A,,,,,,,,,,,6656.0,confirmed,2025-02-22 04:01:58 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13915,,1.0,David Julian,108,Julian,DAVID,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9849,Final,1.0,5.86,1/2,6.53,1.0,15929.0,A,,,,,,,,,,,6538.0,active,2025-02-22 04:14:33 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13915,,1.0,David Julian,108,Julian,DAVID,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9849,Final,1.0,5.86,Final,5.86,3.0,15929.0,A,,,,,,,,,,,5864.0,active,2025-02-22 04:26:25 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,14987,,2.0,Johnston Ned,106,Ned,JOHNSTON,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9748,Qualification,3.0,6.98,,,,15925.0,A,,,,,,,,,,,6989.0,locked,2025-02-22 01:28:14 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,14987,,2.0,Johnston Ned,106,Ned,JOHNSTON,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9748,Qualification,3.0,6.98,,,,15926.0,B,,,,,,,,,,,12978.0,locked,2025-02-22 01:30:32 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,14987,,2.0,Johnston Ned,106,Ned,JOHNSTON,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9849,Final,2.0,8.36,1/4,7.05,0.0,15929.0,A,,,,,,,,,,,7050.0,confirmed,2025-02-22 04:04:48 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,14987,,2.0,Johnston Ned,106,Ned,JOHNSTON,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9849,Final,2.0,8.36,1/2,7.29,1.0,15930.0,B,,,,,,,,,,,7298.0,active,2025-02-22 04:15:49 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,14987,,2.0,Johnston Ned,106,Ned,JOHNSTON,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9849,Final,2.0,8.36,Final,8.36,3.0,15930.0,B,,,,,,,,,,,8361.0,active,2025-02-22 04:26:30 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13851,,3.0,Barton Hayden,101,Hayden,BARTON,AUS,28,https://d1n1qj9geboqnb.cloudfront.net/flags/AUS.png,9748,Qualification,2.0,5.77,,,,15925.0,A,,,,,,,,,,,9250.0,locked,2025-02-22 01:30:25 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13851,,3.0,Barton Hayden,101,Hayden,BARTON,AUS,28,https://d1n1qj9geboqnb.cloudfront.net/flags/AUS.png,9748,Qualification,2.0,5.77,,,,15926.0,B,,,,,,,,,,,5775.0,locked,2025-02-22 01:30:28 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13851,,3.0,Barton Hayden,101,Hayden,BARTON,AUS,28,https://d1n1qj9geboqnb.cloudfront.net/flags/AUS.png,9849,Final,3.0,6.33,1/4,10.12,0.0,15929.0,A,,,,,,,,,,,10126.0,confirmed,2025-02-22 04:03:56 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13851,,3.0,Barton Hayden,101,Hayden,BARTON,AUS,28,https://d1n1qj9geboqnb.cloudfront.net/flags/AUS.png,9849,Final,3.0,6.33,1/2,8.39,1.0,15929.0,A,,,,,,,,,,,8397.0,active,2025-02-22 04:15:44 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13851,,3.0,Barton Hayden,101,Hayden,BARTON,AUS,28,https://d1n1qj9geboqnb.cloudfront.net/flags/AUS.png,9849,Final,3.0,6.33,Small Final,6.33,2.0,15930.0,B,,,,,,,,,,,6338.0,active,2025-02-22 04:24:06 +00:00
/api/v1/events/1456/result/490,1456,full_results_url,IFSC Oceania Cup Mount Maunganui 2025,SPEED Men,finished,2025-10-02 07:18:42 UTC,2026-04-22 08:18:28 UTC,,13914,,4.0,Chisholm Flynn,105,Flynn,CHISHOLM,NZL,53,https://d1n1qj9geboqnb.cloudfront.net/flags/NZL.png,9748,Qualification,4.0,7.37,,,,15925.0,A,,,,,,,,,,,7487.0,locked,2025-02-22 01:30:23 +00:00
