source_event_url,event_id,source_url_layer,event_name,dcat_name,dcat_status,dcat_status_as_of,dcat_ranking_as_of,cutoff_rank,category_round_id,round_kind,round_name,round_category,round_status,round_status_as_of,round_result_url,format_identifier,format,league_round_id,stage_id,stage_name,stage_kind,stage_status,stage_status_as_of,stage_results_url,route_id,route_name,route_startlist_url,route_results_url
/api/v1/events/897/result/2,897,full_results_url,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,SPEED Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:41 UTC,,3413,speed,Final,Men,finished,2024-01-16 03:29:17 UTC,/api/v1/category_rounds/3413/results,speed_elimination_ifsc,IFSC 2021: Elimination,3,,,,,,,2093,A,/api/v1/routes/2093/startlist,
/api/v1/events/897/result/2,897,full_results_url,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,SPEED Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:41 UTC,,3413,speed,Final,Men,finished,2024-01-16 03:29:17 UTC,/api/v1/category_rounds/3413/results,speed_elimination_ifsc,IFSC 2021: Elimination,3,,,,,,,2094,B,/api/v1/routes/2094/startlist,
/api/v1/events/897/result/6,897,full_results_url,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,SPEED Women,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:45 UTC,,3411,speed,Final,Women,finished,2024-01-16 03:29:18 UTC,/api/v1/category_rounds/3411/results,speed_elimination_ifsc,IFSC 2021: Elimination,3,,,,,,,2095,A,/api/v1/routes/2095/startlist,
/api/v1/events/897/result/6,897,full_results_url,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,SPEED Women,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:45 UTC,,3411,speed,Final,Women,finished,2024-01-16 03:29:18 UTC,/api/v1/category_rounds/3411/results,speed_elimination_ifsc,IFSC 2021: Elimination,3,,,,,,,2096,B,/api/v1/routes/2096/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3417,boulder,Qualification,Men,finished,2021-04-09 08:26:32 UTC,/api/v1/category_rounds/3417/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3760,1,/api/v1/routes/3760/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3417,boulder,Qualification,Men,finished,2021-04-09 08:26:32 UTC,/api/v1/category_rounds/3417/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3761,2,/api/v1/routes/3761/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3417,boulder,Qualification,Men,finished,2021-04-09 08:26:32 UTC,/api/v1/category_rounds/3417/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3762,3,/api/v1/routes/3762/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3417,boulder,Qualification,Men,finished,2021-04-09 08:26:32 UTC,/api/v1/category_rounds/3417/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3763,4,/api/v1/routes/3763/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3417,boulder,Qualification,Men,finished,2021-04-09 08:26:32 UTC,/api/v1/category_rounds/3417/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,1,,,,,,,3764,5,/api/v1/routes/3764/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3418,boulder,Semi-Final,Men,finished,2021-04-09 08:26:47 UTC,/api/v1/category_rounds/3418/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3765,1,/api/v1/routes/3765/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3418,boulder,Semi-Final,Men,finished,2021-04-09 08:26:47 UTC,/api/v1/category_rounds/3418/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3766,2,/api/v1/routes/3766/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3418,boulder,Semi-Final,Men,finished,2021-04-09 08:26:47 UTC,/api/v1/category_rounds/3418/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3767,3,/api/v1/routes/3767/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3418,boulder,Semi-Final,Men,finished,2021-04-09 08:26:47 UTC,/api/v1/category_rounds/3418/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,2,,,,,,,3768,4,/api/v1/routes/3768/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3419,boulder,Final,Men,finished,2021-04-09 08:26:52 UTC,/api/v1/category_rounds/3419/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,3,,,,,,,3769,1,/api/v1/routes/3769/startlist,
/api/v1/events/898/result/3,898,full_results_url,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,BOULDER Men,finished,2025-10-02 07:18:25 UTC,2026-04-22 10:07:48 UTC,,3419,boulder,Final,Men,finished,2021-04-09 08:26:52 UTC,/api/v1/category_rounds/3419/results,boulder_legacy,Translation missing: en.round_types.boulder_legacy,3,,,,,,,3770,2,/api/v1/routes/3770/startlist,
