year,event_id,event,cup_id,cup_name,location,country,local_start_date,local_end_date,event_url
1993,133,UIAA Masters - Rock Masters Arco 1993,,,M-Ar,,1993-09-10,1993-09-11,https://ifsc.results.info//api/v1/events/133
1993,129,UIAA Worldcup - Nürnberg 1993,11,UIAA Climbing-Worldcup 1993,W-Nü,,1993-11-04,1993-11-05,https://ifsc.results.info//api/v1/events/129
1993,130,UIAA Worldcup - Laval 1993,11,UIAA Climbing-Worldcup 1993,W-La,,1993-12-09,1993-12-10,https://ifsc.results.info//api/v1/events/130
1994,134,UIAA Worldcup - Villach 1994,12,UIAA Climbing-Worldcup 1994,W-Vi,,1994-04-15,1994-04-16,https://ifsc.results.info//api/v1/events/134
1994,135,UIAA Worldcup - Moscow 1994,12,UIAA Climbing-Worldcup 1994,W-Mo,,1994-04-28,1994-04-29,https://ifsc.results.info//api/v1/events/135
1994,140,UIAA Masters - Serre Chevalier 1994,,,M-Se,,1994-07-20,1994-07-21,https://ifsc.results.info//api/v1/events/140
1994,141,UIAA Masters - L'Argentiere 1994,,,M-LA,,1994-07-27,1994-07-28,https://ifsc.results.info//api/v1/events/141
1994,142,UIAA Masters - Rock Masters Arco 1994,,,M-Ar,,1994-09-09,1994-09-10,https://ifsc.results.info//api/v1/events/142
1994,139,UIAA Youth Worldchampionship - Leipzig 1994,,,94-JWM,,1994-10-21,1994-10-22,https://ifsc.results.info//api/v1/events/139
1994,137,UIAA Worldcup - Aix-les-Bains 1994,12,UIAA Climbing-Worldcup 1994,W-Ai,,1994-11-17,1994-11-18,https://ifsc.results.info//api/v1/events/137
1994,138,UIAA Worldcup - Birmingham 1994,12,UIAA Climbing-Worldcup 1994,W-Bi,,1994-11-25,1994-11-26,https://ifsc.results.info//api/v1/events/138
1995,143,UIAA Worldcup - Frankfurt 1995,13,UIAA Climbing-Worldcup 1995,W-Fr,,1995-04-06,1995-04-07,https://ifsc.results.info//api/v1/events/143
1995,145,UIAA Worldchampionchip - Genève 1995,,,WM-G,,1995-05-05,1995-05-06,https://ifsc.results.info//api/v1/events/145
1995,149,UIAA Masters - Serre Chevalier 1995,,,M-Se,,1995-07-28,1995-07-29,https://ifsc.results.info//api/v1/events/149
1995,150,UIAA Bouldering Masters - L'Argentier 1995,,,M-LA,,1995-08-06,1995-08-07,https://ifsc.results.info//api/v1/events/150
1995,151,UIAA Masters - Rock Masters Arco 1995,,,M-Ar,,1995-09-09,1995-09-10,https://ifsc.results.info//api/v1/events/151
1995,148,UIAA Youth Worldchampionship - Laval 1995,,,95JWM,,1995-10-05,1995-10-06,https://ifsc.results.info//api/v1/events/148
1995,144,UIAA Worldcup - Moscow 1995,13,UIAA Climbing-Worldcup 1995,W-Mo,,1995-10-21,1995-10-22,https://ifsc.results.info//api/v1/events/144
1995,146,UIAA Worldcup - Birmingham 1995,13,UIAA Climbing-Worldcup 1995,W-Bi,,1995-11-24,1995-11-25,https://ifsc.results.info//api/v1/events/146
1995,147,UIAA Worldcup - Aix-les-Bains 1995,13,UIAA Climbing-Worldcup 1995,W-Ai,,1995-12-07,1995-12-08,https://ifsc.results.info//api/v1/events/147
1996,155,European Championship - Paris 1996,,,EmPa,,1996-01-27,1996-01-28,https://ifsc.results.info//api/v1/events/155
1996,156,European Youth Cup - Dortmund (GER) 1996,15,European Youth Cup 1996,E-Dortmund,,1996-06-07,1996-06-08,https://ifsc.results.info//api/v1/events/156
1996,161,"UIAA Masters - ESPN X-Games - Newport, USA 1996",,,ESPN,,1996-06-24,1996-06-25,https://ifsc.results.info//api/v1/events/161
1996,157,European Youth Cup - Ravenna (ITA) 1996,15,European Youth Cup 1996,E-Ravenna,,1996-06-28,1996-06-29,https://ifsc.results.info//api/v1/events/157
1996,162,UIAA Masters - Serre Chevalier 1996,,,M-Se,,1996-07-24,1996-07-25,https://ifsc.results.info//api/v1/events/162
1996,163,UIAA Masters - Rock Masters Arco 1996,,,M-Ar,,1996-09-06,1996-09-07,https://ifsc.results.info//api/v1/events/163
1996,158,European Youth Cup - Skofja Loka (SLO) 1996,15,European Youth Cup 1996,E-Skofja Loka,,1996-09-13,1996-09-14,https://ifsc.results.info//api/v1/events/158
1996,152,UIAA Worldcup - Ekaterinburg 1996,14,UIAA Climbing-Worldcup 1996,W-Ekaterinburg,,1996-09-18,1996-09-19,https://ifsc.results.info//api/v1/events/152
1996,159,European Youth Cup - Bern (SUI) 1996,15,European Youth Cup 1996,E-Bern,,1996-09-27,1996-09-28,https://ifsc.results.info//api/v1/events/159
1996,160,European Youth Cup - Prag (CZE) 1996,15,European Youth Cup 1996,E-Prag,,1996-10-25,1996-10-26,https://ifsc.results.info//api/v1/events/160
1996,153,UIAA Worldcup - Kranj 1996,14,UIAA Climbing-Worldcup 1996,W-Kranj,,1996-11-23,1996-11-24,https://ifsc.results.info//api/v1/events/153
1996,154,UIAA Worldcup - Graz 1996,14,UIAA Climbing-Worldcup 1996,W-Graz,,1996-12-14,1996-12-15,https://ifsc.results.info//api/v1/events/154
1997,164,UIAA World Championchip - Paris 1997,,,WM,,1997-01-31,1997-02-01,https://ifsc.results.info//api/v1/events/164
1997,171,European Youth Cup - Bolzano (ITA) 1997,17,European Youth Cup 1997,E-Bolzano,,1997-05-03,1997-05-04,https://ifsc.results.info//api/v1/events/171
1997,172,European Youth Cup - Dortmund (GER) 1997,17,European Youth Cup 1997,E-Dortmund,,1997-05-31,1997-06-01,https://ifsc.results.info//api/v1/events/172
1997,176,"UIAA Masters - San Diego X-Games, USA 1997",,,X-Gam,,1997-06-22,1997-06-23,https://ifsc.results.info//api/v1/events/176
1997,173,European Youth Cup - Chocen (CZE) 1997,17,European Youth Cup 1997,E-Chocen,,1997-06-28,1997-06-29,https://ifsc.results.info//api/v1/events/173
1997,177,UIAA Masters - Serre Chevalier 1997,,,M-Se,,1997-07-26,1997-07-27,https://ifsc.results.info//api/v1/events/177
1997,174,European Youth Cup - Bern (SUI) 1997,17,European Youth Cup 1997,E-Bern,,1997-08-23,1997-08-24,https://ifsc.results.info//api/v1/events/174
1997,165,UIAA Worldcup - Courmayeur 1997,16,UIAA Climbing-Worldcup 1997,W-Co,,1997-09-04,1997-09-05,https://ifsc.results.info//api/v1/events/165
1997,178,UIAA Masters - Rock Masters Arco 1997,,,M-Ar,,1997-09-12,1997-09-13,https://ifsc.results.info//api/v1/events/178
1997,175,European Youth Cup - Parma (ITA) 1997,17,European Youth Cup 1997,E-Parma,,1997-09-20,1997-09-21,https://ifsc.results.info//api/v1/events/175
1997,166,UIAA Worldcup - Prag 1997,16,UIAA Climbing-Worldcup 1997,W-Pr,,1997-10-23,1997-10-24,https://ifsc.results.info//api/v1/events/166
1997,167,UIAA Worldcup - Kranj 1997,16,UIAA Climbing-Worldcup 1997,W-Kr,,1997-11-08,1997-11-09,https://ifsc.results.info//api/v1/events/167
1997,170,UIAA Youth Worldchampionship - Imst (AUT) 1997,,,JWM,,1997-11-13,1997-11-14,https://ifsc.results.info//api/v1/events/170
1997,168,UIAA Worldcup - Imst 1997,16,UIAA Climbing-Worldcup 1997,W-Im,,1997-11-21,1997-11-22,https://ifsc.results.info//api/v1/events/168
1997,169,UIAA Worldcup - Birmingham 1997,16,UIAA Climbing-Worldcup 1997,W-Bi,,1997-11-28,1997-11-29,https://ifsc.results.info//api/v1/events/169
1998,184,UIAA European Championship - Nürnberg (GER) 1998,,,EC-Nürnberg,,1998-04-02,1998-04-03,https://ifsc.results.info//api/v1/events/184
1998,185,European Youth Cup - Dortmund (GER) 1998,19,European Youth Cup 1998,E-Dortmund,,1998-06-11,1998-06-12,https://ifsc.results.info//api/v1/events/185
1998,186,European Youth Cup - Triest (ITA) 1998,19,European Youth Cup 1998,E-Triest,,1998-07-03,1998-07-04,https://ifsc.results.info//api/v1/events/186
1998,187,European Youth Cup - Imst (AUT) 1998,19,European Youth Cup 1998,E-Imst,,1998-07-10,1998-07-11,https://ifsc.results.info//api/v1/events/187
1998,189,Top Rock Challenge - Val d'Isere (FRA) 1998,20,Top Rock Challenge 1998 - Bouldering,T-V.d'Isere,,1998-07-11,1998-07-12,https://ifsc.results.info//api/v1/events/189
1998,183,UIAA Youth Worldchampionship - Moscow (RUS) 1998,,,J_WM,,1998-07-15,1998-07-16,https://ifsc.results.info//api/v1/events/183
1998,190,Top Rock Challenge - Chamonix (FRA) 1998,20,Top Rock Challenge 1998 - Bouldering,T-Chamonix,,1998-07-16,1998-07-17,https://ifsc.results.info//api/v1/events/190
1998,191,UIAA Masters - Serre Chevalier (FRA) 1998,,,M-Serre Chevalier,,1998-07-22,1998-07-23,https://ifsc.results.info//api/v1/events/191
1998,179,UIAA Worldcup - Beauregard (ITA) 1998,18,UIAA Climbing-Worldcup 1998,W-Beauregard,,1998-07-31,1998-08-01,https://ifsc.results.info//api/v1/events/179
1998,192,Top Rock Challenge - Valloire (FRA) 1998,20,Top Rock Challenge 1998 - Bouldering,T-Valloire,,1998-08-06,1998-08-07,https://ifsc.results.info//api/v1/events/192
1998,193,Top Rock Challenge - Cortina d'Ampezzo (ITA) 1998,20,Top Rock Challenge 1998 - Bouldering,T-Cortina,,1998-08-13,1998-08-14,https://ifsc.results.info//api/v1/events/193
1998,194,Top Rock Challenge - Crans Montana (SUI) 1998,20,Top Rock Challenge 1998 - Bouldering,T-Cr.Montana,,1998-08-21,1998-08-22,https://ifsc.results.info//api/v1/events/194
1998,195,Top Rock Challenge - Grenoble (FRA) 1998,20,Top Rock Challenge 1998 - Bouldering,T-Grenoble,,1998-08-27,1998-08-28,https://ifsc.results.info//api/v1/events/195
1998,180,UIAA Worldcup - Courmayeur (ITA) 1998,18,UIAA Climbing-Worldcup 1998,W-Courmayeur,,1998-09-03,1998-09-04,https://ifsc.results.info//api/v1/events/180
1998,196,UIAA Masters - Rock Masters Arco (ITA) 1998,,,M-Arco,,1998-09-11,1998-09-12,https://ifsc.results.info//api/v1/events/196
1998,181,UIAA Worldcup - Milan (ITA) 1998,18,UIAA Climbing-Worldcup 1998,W-Milan,,1998-10-08,1998-10-09,https://ifsc.results.info//api/v1/events/181
1998,188,European Youth Cup - Aix en Provence (FRA) 1998,19,European Youth Cup 1998,E-Aix en Provence,,1998-10-30,1998-10-31,https://ifsc.results.info//api/v1/events/188
1998,182,UIAA Worldcup - Kranj (SLO) 1998,18,UIAA Climbing-Worldcup 1998,W-Kranj,,1998-11-13,1998-11-14,https://ifsc.results.info//api/v1/events/182
1999,197,UIAA Worldcup - Wiener Neustadt (AUT) 1999,21,UIAA Climbing-Worldcup 1999,Wien,,1999-04-15,1999-04-16,https://ifsc.results.info//api/v1/events/197
1999,1170,UIAA Worldcup - Leipzig (GER) 1999,21,UIAA Climbing-Worldcup 1999,W-Leipzig,,1999-05-27,1999-05-28,https://ifsc.results.info//api/v1/events/1170
1999,198,UIAA Worldcup - Besancon (FRA) 1999,21,UIAA Climbing-Worldcup 1999,W-Besancon,,1999-06-09,1999-06-10,https://ifsc.results.info//api/v1/events/198
1999,199,UIAA Worldcup - Benasque (ESP) 1999,21,UIAA Climbing-Worldcup 1999,WC Benasque,,1999-07-02,1999-07-03,https://ifsc.results.info//api/v1/events/199
1999,209,European Youth Cup - Imst (AUT) 1999,22,European Youth Cup 1999,Imst,,1999-07-09,1999-07-10,https://ifsc.results.info//api/v1/events/209
1999,200,UIAA Worldcup - Val d'Isere (FRA) 1999,21,UIAA Climbing-Worldcup 1999,WC Val d'Isere,,1999-07-10,1999-07-11,https://ifsc.results.info//api/v1/events/200
1999,201,UIAA Worldcup - Chamonix (FRA) 1999,21,UIAA Climbing-Worldcup 1999,WC Chamonix,,1999-07-16,1999-07-17,https://ifsc.results.info//api/v1/events/201
1999,213,UIAA Masters - Serre-Chevalier (FRA) 1999,,,Ma Serre-Chev.,,1999-07-21,1999-07-22,https://ifsc.results.info//api/v1/events/213
1999,202,UIAA Worldcup - Beauregard (ITA) 1999,21,UIAA Climbing-Worldcup 1999,WC Beauregard,,1999-07-23,1999-07-24,https://ifsc.results.info//api/v1/events/202
1999,203,UIAA Worldcup - Bardonecchia (ITA) 1999,21,UIAA Climbing-Worldcup 1999,WC Bardonecchia,,1999-07-30,1999-07-31,https://ifsc.results.info//api/v1/events/203
1999,204,UIAA Worldcup - Cortina (ITA) 1999,21,UIAA Climbing-Worldcup 1999,WC Cortina,,1999-08-12,1999-08-13,https://ifsc.results.info//api/v1/events/204
1999,210,European Youth Cup - Bern (SUI) 1999,22,European Youth Cup 1999,Bern,,1999-08-13,1999-08-14,https://ifsc.results.info//api/v1/events/210
1999,205,UIAA Worldcup - Grenoble (FRA) 1999,21,UIAA Climbing-Worldcup 1999,WC Grenoble,,1999-08-27,1999-08-28,https://ifsc.results.info//api/v1/events/205
1999,208,UIAA Youth Worldchampionship - Courmayeur (ITA) 1999,,,JWM,,1999-09-02,1999-09-03,https://ifsc.results.info//api/v1/events/208
1999,214,Int. Event - Arco Rock Master (ITA) 1999,,,IE Arco,,1999-09-09,1999-09-10,https://ifsc.results.info//api/v1/events/214
1999,211,European Youth Cup - Albertville (FRA) 1999,22,European Youth Cup 1999,Albertville,,1999-10-15,1999-10-16,https://ifsc.results.info//api/v1/events/211
1999,206,UIAA Worldcup - Kranj (SLO) 1999,21,UIAA Climbing-Worldcup 1999,W-Kranj,,1999-11-11,1999-11-12,https://ifsc.results.info//api/v1/events/206
1999,212,EuropeanYouth Cup - Amsterdam (NED) 1999,22,European Youth Cup 1999,Amsterdam,,1999-11-26,1999-11-27,https://ifsc.results.info//api/v1/events/212
1999,207,UIAA World Championship - Birmingham (GBR) 1999,,,WM Birmingham,,1999-12-02,1999-12-03,https://ifsc.results.info//api/v1/events/207
1999,215,Int. Event - Sheffield (GBR) 1999,,,IE Sheffield,,1999-12-06,1999-12-07,https://ifsc.results.info//api/v1/events/215
2000,216,UIAA Worldcup - Konitsa (GRE) 2000,23,UIAA Climbing-Worldcup 2000,Konitsa,,2000-05-26,2000-05-27,https://ifsc.results.info//api/v1/events/216
2000,217,UIAA Worldcup - Millau (FRA) 2000,23,UIAA Climbing-Worldcup 2000,Milau,,2000-05-31,2000-06-01,https://ifsc.results.info//api/v1/events/217
2000,231,European Youth Cup - Imst (AUT) 2000,24,European Youth Cup 2000,Imst,,2000-06-02,2000-06-03,https://ifsc.results.info//api/v1/events/231
2000,218,UIAA Worldcup - Chamonix (FRA) 2000,23,UIAA Climbing-Worldcup 2000,Chamonix,,2000-07-11,2000-07-12,https://ifsc.results.info//api/v1/events/218
2000,235,Masters - Serre Chevalier (FRA) 2000,,,Serre Chevalier,,2000-07-16,2000-07-17,https://ifsc.results.info//api/v1/events/235
2000,236,Int. Event - Serre Chevalier (FRA) 2000,,,Serre Chevalier,,2000-07-19,2000-07-20,https://ifsc.results.info//api/v1/events/236
2000,219,UIAA Worldcup - Beauregard (ITA) 2000,23,UIAA Climbing-Worldcup 2000,Beauregard,,2000-07-21,2000-07-22,https://ifsc.results.info//api/v1/events/219
2000,237,Int. Event - L'Argentiere (FRA) 2000,,,L'Argentiere,,2000-07-24,2000-07-25,https://ifsc.results.info//api/v1/events/237
