ranking_category_id,ranking_category,dcat_name,discipline_kind,ranking_name,ranking_id,ranking_from,ranking_to,continental_council_ranking_url,athlete_id,athlete_name,firstname,lastname,federation_id,country,athlete_rank,athlete_score,photo_url,event_id,event_discipline_id,event_discipline_kind,event_rank,event_name,event_start_date,event_end_date,field_factor,gained_pts,original_pts,included
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13040,ANRAKU Sorato,Sorato,ANRAKU,25,JPN,4,3838.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/bk9ifljhby050h6lc4uccx4kzhnf,1412,1725,lead,9,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,380.0,380.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13040,ANRAKU Sorato,Sorato,ANRAKU,25,JPN,4,3838.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/bk9ifljhby050h6lc4uccx4kzhnf,1515,1855,lead,2,World Climbing Asia Championship Meishan 2026,2026-04-07T16:00:00.000Z,2026-04-12T15:59:00.000Z,0.275,213,213,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,14606,SUZUKI Neo,Neo,SUZUKI,25,JPN,5,3380.0,,1417,1731,lead,5,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,1090.0,1090.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,14606,SUZUKI Neo,Neo,SUZUKI,25,JPN,5,3380.0,,1412,1725,lead,1,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,1000.0,1000.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,14606,SUZUKI Neo,Neo,SUZUKI,25,JPN,5,3380.0,,1454,1771,lead,7,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,455.0,455.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,14606,SUZUKI Neo,Neo,SUZUKI,25,JPN,5,3380.0,,1416,1730,lead,8,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,415.0,415.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,14606,SUZUKI Neo,Neo,SUZUKI,25,JPN,5,3380.0,,1515,1855,lead,1,World Climbing Asia Championship Meishan 2026,2026-04-07T16:00:00.000Z,2026-04-12T15:59:00.000Z,0.275,275,275,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,14606,SUZUKI Neo,Neo,SUZUKI,25,JPN,5,3380.0,,1414,1727,lead,21,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,145.0,145.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11490,ROBERTS Toby,Toby,ROBERTS,11,GBR,6,2179.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vjk7dlrn2exkr89wbcbcir56hld4,1412,1725,lead,2,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,805.0,805.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11490,ROBERTS Toby,Toby,ROBERTS,11,GBR,6,2179.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vjk7dlrn2exkr89wbcbcir56hld4,1416,1730,lead,3,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,690.0,690.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11490,ROBERTS Toby,Toby,ROBERTS,11,GBR,6,2179.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vjk7dlrn2exkr89wbcbcir56hld4,1454,1771,lead,10,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,350.0,350.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11490,ROBERTS Toby,Toby,ROBERTS,11,GBR,6,2179.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vjk7dlrn2exkr89wbcbcir56hld4,1417,1731,lead,25,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,179.0,179.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,11490,ROBERTS Toby,Toby,ROBERTS,11,GBR,6,2179.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vjk7dlrn2exkr89wbcbcir56hld4,1414,1727,lead,20,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,155.0,155.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13986,OMATA Shion,Shion,OMATA,25,JPN,7,1926.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vco3ni8mf2ygfd0ml57at22kb7nv,1417,1731,lead,12,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,600.0,600.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13986,OMATA Shion,Shion,OMATA,25,JPN,7,1926.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vco3ni8mf2ygfd0ml57at22kb7nv,1454,1771,lead,6,IFSC World Cup Comunidad de Madrid 2025,2025-07-17T22:00:00.000Z,2025-07-19T21:59:00.000Z,1.0,495.0,495.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13986,OMATA Shion,Shion,OMATA,25,JPN,7,1926.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vco3ni8mf2ygfd0ml57at22kb7nv,1414,1727,lead,8,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,415.0,415.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13986,OMATA Shion,Shion,OMATA,25,JPN,7,1926.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vco3ni8mf2ygfd0ml57at22kb7nv,1416,1730,lead,18,IFSC World Cup Koper 2025,2025-09-04T22:00:00.000Z,2025-09-06T21:59:00.000Z,1.0,185.0,185.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13986,OMATA Shion,Shion,OMATA,25,JPN,7,1926.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vco3ni8mf2ygfd0ml57at22kb7nv,1515,1855,lead,3,World Climbing Asia Championship Meishan 2026,2026-04-07T16:00:00.000Z,2026-04-12T15:59:00.000Z,0.275,175,175,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,13986,OMATA Shion,Shion,OMATA,25,JPN,7,1926.0,https://d1n1qj9geboqnb.cloudfront.net/ifsc/public/vco3ni8mf2ygfd0ml57at22kb7nv,1412,1725,lead,29,IFSC World Cup Innsbruck 2025,2025-06-24T22:00:00.000Z,2025-06-29T21:59:00.000Z,1.0,56.0,56.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1170,POTOCAR Luka,Luka,POTOCAR,15,SLO,8,1880.0,,1417,1731,lead,11,IFSC World Championships Seoul 2025,2025-09-20T15:00:00.000Z,2025-09-28T14:59:00.000Z,2.0,650.0,650.0,True
1,LEAD Men,LEAD Men,lead,CUWR v4,5,2025-05-08T00:00:00.000Z,2026-05-07T00:00:00.000Z,/api/v1/cuwr/1/continental_councils,1170,POTOCAR Luka,Luka,POTOCAR,15,SLO,8,1880.0,,1414,1727,lead,7,IFSC World Cup Chamonix 2025,2025-07-10T22:00:00.000Z,2025-07-13T21:59:00.000Z,1.0,455.0,455.0,True
